star,emotion
5,0.8827834286812402
5,0.19708994557361542
5,0.5967754621003681
5,0.6697245402711469
5,0.4734944245967575
5,0.9169900433039002
5,0.5464636643427929
3,0.968273536550317
5,0.7495389038807478
5,0.9960893888479034
5,0.40289570119869367
5,0.7076422417231849
4,0.7272562177755649
5,0.9316574088198643
5,0.5111725603934808
5,0.7591982785011148
4,0.8436642227264
5,0.4603903025685846
5,0.9950779402713159
1,0.43956988671001684
5,0.2422663445819853
5,0.7535054580002387
3,0.9992055114675716
5,0.9879304746442067
1,0.3439182056331482
5,0.520950950509465
1,0.45134452446475876
5,0.9553522413790636
1,0.9996987660505695
1,0.5579932531029956
1,0.3832970757272499
5,0.999999484699984
1,0.5642748666500313
5,0.9978574809632409
1,0.014140568332028165
5,0.582667327917176
5,0.8816380221063053
5,0.7970479218244342
4,0.8888871080461429
5,0.9977313069846061
5,0.5003357222026475
5,0.5624063770597049
5,0.9947842528276208
5,0.7628772961938695
5,0.9999811876440868
5,0.6190884393362481
5,0.4939523239860769
5,0.9828727234247927
3,0.5909953076882785
5,0.8810733690056026
3,0.8707811404932894
4,0.712028462914379
3,0.9998934682932309
5,0.6252333667524406
5,0.5971465565761332
5,0.9995469946511021
5,0.8783025882393524
5,0.7230827149050042
5,0.9332103528503182
5,0.5170914584115006
5,0.9961826438931947
5,0.9395607530323801
5,0.9726433986789227
2,0.7045558441480636
5,0.9611933883579773
5,0.9782942487194072
4,0.8494984964045623
5,0.5293263333890071
5,0.674644775650119
5,0.3979932209548405
2,0.8046653375388525
5,0.7401222545921594
5,0.896552641678451
2,0.009117582662760347
4,0.16532087988657945
5,0.4176450571804505
5,0.5304962439317021
5,0.9673674291272278
2,0.08146382670930888
5,0.9854597887671975
5,0.9839749804257676
2,0.5309412354479324
4,0.9984728866278979
5,0.11617971711690314
5,0.9996184310122187
1,0.23435245241808453
4,0.81703771663774
5,0.09771739476529458
5,0.45068552558373653
3,0.9880092057223574
5,0.56168170097902
5,0.9982761306049689
5,0.8190890071200768
5,0.7203747938630708
5,0.7677027062173666
2,0.7961332623560489
5,0.5724395314855887
5,0.5464636643427929
4,0.5580844074730061
5,0.8269929623051462
5,0.9614039907273456
5,0.9918207155889418
5,0.9971357193816812
2,0.02679396329869336
5,0.9827293245509264
5,0.9447122541583387
4,0.47980590876402784
5,0.5095998998109194
3,0.9943074558382822
3,0.48177435537538066
5,0.10980811958922443
5,0.8883589356749617
3,0.9685379638832912
5,0.04830326255701419
5,0.6215347426320783
5,0.551743330649637
1,0.43679647274453254
5,0.6987188030295232
4,0.9992200913896172
5,0.7494590657305849
5,0.4511244910104898
5,0.8376865391459472
5,0.7236539178433232
5,0.9992939121076843
3,0.5909063470535469
5,0.7800276023499068
5,0.47848344432673745
2,0.7110219688880709
5,0.6483397206457888
5,0.5489181737718446
5,0.5
5,0.656325319519152
3,0.7163728438330603
4,0.8914781782139498
4,0.8403462126367853
5,0.4608777399091775
2,0.41409336681102965
5,0.8025718354415221
5,0.8662598178724638
5,0.9550433178801128
5,0.5003357222026475
5,0.5367259206719327
5,0.607535298744594
1,0.3059110974204431
5,0.8573818574271689
5,0.6320102549436595
5,0.973288365811793
5,0.6686611666528485
5,0.478000034333121
5,0.9102258871421876
5,0.48076752939730477
5,0.80199484615842
5,0.9977607949063215
2,0.4538462402838283
5,0.7831710032249113
5,0.7524266306530444
5,0.8814667389470369
5,0.9541883477896155
4,0.7607965371517897
3,0.29362262230978714
5,0.5488163558106169
4,0.8638353737430724
5,0.3872420651128919
4,0.28027340933195743
1,0.673175838434016
5,0.8939362457825667
5,0.8727245849130573
5,0.6487805413872476
5,0.7428961465447333
5,0.7985520726278337
5,0.8812573274515726
5,0.70338306277936
5,0.33970493345016817
2,0.6852385159804483
5,0.8057723418433272
2,0.1566431655031592
5,0.18671781363392592
4,0.8753206420104164
5,0.8700440725746403
5,0.5377737508273917
5,0.3932873955457522
5,0.6269366664612988
5,0.9872211974070745
3,0.9528288629893247
5,0.5464636643427929
5,0.5046592237507598
5,0.18776966565940542
5,0.9557040178952627
5,0.5761952478254001
3,0.567499015127005
5,0.8177277428382581
5,0.9457245527394336
5,0.6522684283575672
5,0.4094776841788308
5,0.9603654360777966
5,0.9522080644659562
4,0.5986592046100273
5,0.5923313834018389
3,0.5613577001414787
5,0.4861919443851441
5,0.9971500141294543
5,0.7034365154966704
5,0.5003357222026475
5,0.7005253538155469
4,0.6792868926136013
4,0.8061994773305114
2,0.33874854018750367
5,0.6514212059562147
4,0.7906437299999818
5,0.6993861273313418
5,0.7154546416162176
5,0.4221873754808571
5,0.45577860085897387
5,0.6534711847655231
5,0.5106823169875138
5,0.9945784247726032
5,0.5284596243664965
3,0.8941274623466337
5,0.9889838989549276
3,0.056115177122866934
5,0.6606892550048138
3,0.9718307787066911
5,0.4603903025685846
5,0.8297025450795417
5,0.9999992785431333
4,0.015966640132198492
5,0.9290457526760368
5,0.5229844797126649
4,0.9763986698432947
5,0.5328979808983263
3,0.5157912306764804
5,0.505148008472123
5,0.9796661128052416
5,0.0051971553469840875
3,0.2439734807193606
2,0.21773332920976074
5,0.9723297076848979
2,0.591632845086773
5,0.9912486312950812
5,0.9670687419939394
5,0.35250660960959473
4,0.1868519900267964
5,0.893913512448061
5,0.393027894911512
5,0.36631558965858035
5,0.8207974458496541
5,0.5786111156037504
5,0.8412424716898341
1,0.7397087561995149
4,0.1848851092397406
5,0.5688037387081338
5,0.8281753911884315
5,0.24215940677076897
5,0.7083137088300464
5,0.9980942553949429
5,0.6796815486108608
5,0.4729325617621334
5,0.4406521943901082
5,0.6913743687041889
5,0.9265834792148702
5,0.24397436897887934
5,0.5596083834147169
5,0.4406521943901082
5,0.5398212099923304
4,0.4167063537001895
5,0.951722891854717
5,0.8332733439839421
3,0.8486904414259878
5,0.6160396937375966
5,0.5841631272209271
3,0.06285759228805277
5,0.5823920714016552
5,0.8654737476313081
5,0.6719042451539875
4,0.8449669245357898
5,0.43822950588396453
5,0.6151905523749936
3,0.5079016452347375
3,0.5188181207177588
5,0.5820033583662058
5,0.8759401839604832
4,0.544734798578517
4,0.7610806964211592
4,0.7018051128189062
2,0.8002376444729369
1,0.9196528062594839
5,0.7138891173350795
3,0.9416948861654844
5,0.9997067005348885
5,0.7394269613242185
5,0.42929608996489776
5,0.5792113296614572
1,0.5921395465469289
5,0.5816347471758181
5,0.9920003082128789
1,0.8335352241193575
5,0.4653529170205713
5,0.31543123045341775
5,0.6984393303391024
5,0.5106823169875138
1,0.9791248486678926
4,0.6760332101388316
5,0.9046683839575819
5,0.9731813279414144
2,0.7297893802416459
3,0.49099760881912363
4,0.4517411481761588
5,0.3264256496728797
5,0.7462431334750496
5,0.324198503055714
3,0.7261026420705503
5,0.5632053597542817
5,0.8277380053509852
5,0.6015900801728279
5,0.3724369420331314
4,0.8913231569430058
3,0.7218154534555731
5,0.4608777399091775
5,0.4608777399091775
5,0.6771392402403033
5,0.8352741899280118
5,0.8874392489357263
3,0.7480830899672032
