T,X,V,WW,P
1,0,10,24000.0,0
1.94822472826040,10,11.0920464357555,23299.54919524376,1465.04 - 170.32*log(3)
2.82175755453989,20,11.8034869641547,22740.840737324375,1128.74532772605
3.64577787303610,30,12.4677592066905,22131.7032210275,1216.30305077033
4.43469690836522,40,12.8833847058866,21671.271828557452,1028.63175170568
5.20029611350780,50,13.2399444011170,21231.50322234903,1018.35444877659
5.94762925820666,60,13.5218821575849,20885.841233915115,970.407515062434
6.67964544899066,70,13.7999178951975,20536.54530942068,1007.98815521772
7.39689297204724,80,14.0844586374245,20158.53884382411,1061.78177042102
8.10097486081220,90,14.3213281313309,19802.583339577755,1032.25863173081
8.79573388431990,100,14.4656315529405,19516.542835927998,918.352527968662
9.48405893262351,110,14.5904082487352,19227.69436906345,906.222993950577
10.1680925459058,120,14.6479209965655,19032.49228301652,810.895710860497
10.8495031071799,130,14.7029595688967,18782.16157982792,813.841461205352
11.5293771041102,140,14.7142561068043,18619.979578884948,746.961068233019
12.2087906842805,150,14.7228946710583,18434.21308437156,743.779665202133
12.8870921707729,160,14.7625191136330,18212.589876805563,797.034422524809
13.5635853873833,170,14.8017093352631,18030.71746831509,801.091769907086
14.2366014188286,180,14.9152648013732,17707.445844430207,933.522855501727
14.9066401336537,190,14.9337566916902,17526.014203518163,783.912507326128
15.5755644323883,200,14.9649927450331,17299.151474787857,808.225037082084
16.2410687404998,210,15.0874047469574,16993.690477020747,972.016092963374
16.9036414515451,220,15.0979615782671,16783.312725689637,790.485975868629
17.5669076238126,230,15.0558451983200,16634.8112746991,698.809129143475
18.2318874218453,240,15.0202564504358,16513.202887586456,705.735613309001
18.8956565543287,250,15.1107017716978,16242.758160115143,923.243486169127
19.5554102141690,260,15.2036431382507,15971.339183753762,940.145322887526
20.2129571779785,270,15.2124352573240,15788.834232625517,801.250836770835
20.8708449119140,280,15.1878883364259,15624.434385297918,742.532901953864
21.5297750381810,290,15.1643435660734,15434.680033141105,741.561742106065
22.1881311676202,300,15.2143513464182,15162.25891445867,870.324025525145
22.8450728071452,310,15.2297532691173,14967.840972395697,814.423973049197
23.5034642216526,320,15.1473135627201,14858.130636629214,641.059841538454
24.1624855786549,330,15.2007165693727,14593.313869327274,874.205149315307
24.8222796012830,340,15.1117738656498,14492.139533999221,626.659904294806
25.4859235706710,350,15.0248670480701,14392.35767776387,621.617857486080
26.1534148164520,360,14.9380727304090,14315.431825268626,613.455043729866
26.8242573425716,370,14.8751833189489,14189.974665038426,646.168274664160
27.4952667805263,380,14.9306567612763,13948.506121344215,842.957469213316
28.1644950673682,390,14.9545115635437,13718.964647794033,795.037980062923
28.8312529406413,400,15.0413847005957,13446.242014401041,908.016719652707
29.4971049209137,410,14.9953210426530,13287.130695621316,685.892960923613
30.1632235968604,420,15.0293588262528,13036.820292988747,820.653775560016
30.8274115947697,430,15.0825975218818,12810.422042381933,858.689311587437
31.4905179214995,440,15.0784780007025,12641.835309830587,764.007934983513
32.1533636154400,450,15.0944569415202,12430.860708796903,799.001796267618
32.8174114604688,460,15.0238547881601,12355.290413053897,648.463741451520
33.4841803709087,470,14.9715449475673,12206.882854582995,673.183971904071
34.1512407325986,480,15.0107492324269,11989.954133597066,826.753106621176
34.8194407231981,490,14.9204095244844,11943.52515192772,605.981016527195
35.4904164631787,500,14.8869274748831,11832.532950345763,694.861654029472
36.1608126559132,510,14.9461775110196,11605.537974858184,850.985785004771
36.8304749753068,520,14.9196211471915,11437.295703549786,709.567066871912
37.5031454743302,530,14.8126177855971,11370.885329241099,569.004140386503
38.1791141208253,540,14.7745533113143,11256.33814806553,675.678907134000
38.8548339705348,550,14.8235116391200,11017.79422784149,819.189085925876
39.5313058838861,560,14.7416478379664,10970.010474486453,602.748516629638
40.2112111486245,570,14.6742149847684,10861.160991291215,619.151461544684
40.8941617426794,580,14.6104802393081,10793.012736691575,618.785745553191
41.5809926575188,590,14.5087681344741,10752.141245706584,550.452131018464
42.2685168671690,600,14.5811165841681,10514.630513239474,825.346533042153
42.9562536819435,610,14.4997753651131,10473.19552832714,581.080575888050
43.6463865942412,620,14.4801495792192,10369.759145866657,673.654900228709
44.3394706716983,630,14.3763782945388,10339.859045565723,535.860147787387
45.0352223010116,640,14.3695119878044,10191.92088969059,681.293485529985
45.7299373623664,650,14.4192693594674,9970.341937819763,771.555268656528
46.4261171525767,660,14.3089417739768,9919.02723868486,520.258022001678
47.1246509668007,670,14.3224567249205,9777.85383697924,706.591710038944
47.8210436707586,680,14.3969711012602,9575.678888732878,805.752440413494
48.5165611449691,690,14.3585968630138,9444.520384681606,632.954932077550
49.2148014209693,700,14.2848381942828,9379.812757230775,572.993655190346
49.9169156365732,710,14.2005557138845,9344.291777293043,549.855612165794
50.6233996335863,720,14.1086488605391,9278.921001912868,530.736520732826
51.3336838855304,730,14.0490921357704,9187.091641974645,572.434438786075
52.0465725386872,740,14.0057799840712,9101.787481623647,591.750921310565
52.7580575969184,750,14.1044378885584,8843.051265490507,804.689407260299
53.4664365947636,760,14.1290360863038,8660.511099333717,701.661894290886
54.1762651055762,770,14.0467834184691,8613.977749625834,539.472675408124
54.8901128515861,780,13.9703954712748,8578.679498585261,541.306844247719
55.6071406768190,790,13.9225248536861,8534.39911642843,577.556175485026
56.3264193191709,800,13.8831109908634,8472.483098778392,585.822922993052
57.0445272413444,810,13.9678559494061,8282.30948272026,768.509486464764
57.7586149898495,820,14.0399064605646,8055.514947924824,759.225330699544
58.4703241154781,830,14.0614614716434,7912.16882672985,689.977827784138
