T,X,V,WW,P
1,0,10,24000.0,0
1.95869003355799,10,10.8618002690337,23199.7842619239,1473.04 - 170.32*log(3)
2.85462411300298,20,11.4612706564404,22547.054701139037,1222.69446872660
3.71092120058015,30,11.8951091446268,21934.74060199846,1167.14603692843
4.54557057338503,40,12.0670486807473,21568.434246064666,945.877780192236
5.36418658019909,50,12.3644305885588,21044.102145394627,1123.44473032329
6.17208060641262,60,12.3912915124408,20785.004433721948,842.574216873482
6.97427898729431,70,12.5401973519699,20392.69347360357,996.844766558522
7.77176344686683,80,12.5386612513947,20113.92285271154,831.296162739593
8.56771850757163,90,12.5883854719346,19759.30242642742,895.196080180419
9.36180559435972,100,12.5977689596855,19448.92820723487,851.458834546283
10.1574791987233,110,12.5381660396888,19207.216956712196,766.318569199156
10.9519682712915,120,12.6352450122064,18858.977240820976,954.790083850345
11.7404171522262,130,12.7310158622983,18512.372898243466,968.008280382920
12.5251776468901,140,12.7544668244498,18174.29575044604,889.143410724285
13.3064615837136,150,12.8444211820222,17770.678390266297,978.883516644808
14.0835286121804,160,12.8933842676043,17439.998398516585,938.760190933136
14.8576435217330,170,12.9425733572908,17085.315540874424,946.325839657530
15.6318149040308,180,12.8914996365187,16835.540081507384,820.719352843983
16.4116819800082,190,12.7538963752774,16640.688605725587,701.871855439162
17.1931198689926,200,12.8399483588101,16288.459472539129,973.700334613128
17.9751966190283,210,12.7329893344368,16095.654373144685,735.420724708263
18.7605061423751,220,12.7346758414090,15784.2072492785,861.418235846751
19.5438342623167,230,12.7974089782829,15456.236787095533,940.450508648384
20.3267844789312,240,12.7469993066796,15207.849914615354,802.942328684016
21.1145821410381,250,12.6402301330618,15058.77556015524,724.862348718277
21.9046554255353,260,12.6738772952484,14771.356424592284,889.356226042360
22.6955216557132,270,12.6148494664206,14526.24438897874,776.431847866974
23.4877094762352,280,12.6316886422082,14230.718782937718,864.488154975618
24.2839265849007,290,12.4870883626226,14079.168957332644,664.710396876023
25.0840772908137,300,12.5082029646263,13799.945545740471,852.271142269067
25.8881491545191,310,12.3651956739407,13634.04808948338,653.563517047727
26.6974943288612,320,12.3461396549683,13400.305228377025,786.980663104475
27.5119391945191,330,12.2104642888044,13259.244267172837,645.308152591995
28.3321106402786,340,12.1746811626782,13061.829491504071,747.741732644327
29.1547283980436,350,12.1379474077755,12887.189421469267,742.272919348694
29.9780959137293,360,12.1525420990206,12656.804684219389,797.715306078070
30.7986201147037,370,12.2221198259402,12337.101634943892,864.472485453746
31.6190208007833,380,12.1562118104867,12159.087040437718,713.757380716303
32.4434295653154,390,12.1035982017846,11953.11310619967,721.549530209296
33.2742027659149,400,11.9703608348910,11827.34579027086,623.023314727308
34.1142284890721,410,11.8384338825278,11695.130215628053,610.963968912763
34.9568991403682,420,11.8956311038792,11413.294726096154,806.955482311104
35.7960379656129,430,11.9383274716485,11125.64154827187,798.226980508213
36.6338068865027,440,11.9346039552628,10904.604189391279,751.202966790681
37.4685706851650,450,12.0242692398250,10637.66746016559,857.068966860044
38.3045791525888,460,11.8989334301576,10525.138500525813,623.828043527465
39.1485996954356,470,11.7971722742619,10441.663870943998,637.058066022320
39.9968987325454,480,11.7794193816005,10214.964029284321,718.328216696710
40.8475503541735,490,11.7319682317234,10036.6381585105,683.652687456243
41.6987342109817,500,11.7647179895099,9766.907596623318,765.837311656411
42.5457749756964,510,11.8468965078589,9445.025243148728,824.887004712490
43.3968473371967,520,11.6528679125752,9419.997242764679,531.217171486178
44.2589742306910,530,11.5455732344561,9278.734395491312,605.593806025466
45.1295141038065,540,11.4286759845064,9184.611419996898,584.789606211070
46.0028620983849,550,11.4717029299208,8997.875633863365,738.414168881115
46.8751895640803,560,11.4554669535296,8850.31257800599,681.686888445830
47.7484755913599,570,11.4465369435250,8701.885254985697,687.419551169025
48.6233704300656,580,11.4133533143583,8583.9326357912,661.203196758613
49.5006653129297,590,11.3839983978804,8464.514000885374,661.433920634131
50.3769875346406,600,11.4386569045867,8200.15669093693,744.907586219325
51.2563545928685,610,11.3049742251754,8152.614024383385,557.233845090571
52.1475888961266,620,11.1358137100340,8152.614024383385,509.598049984593
53.0537994381254,630,10.9341127287908,8134.4898135434105,444.024588108567
53.9780888177998,640,10.7041322189606,8204.356958268952,398.360478274252
54.9258829851094,650,10.3974958452538,8297.785796441178,350.300118716394
55.9018351751367,660,10.0953112864576,8419.935542736299,360.638238402679
56.9054263729288,670,9.83312176875530,8549.141520265855,374.974534706221
57.9315521674631,680,9.65766591685748,8646.343605918675,386.909042811573
58.9766003796150,690,9.48020711850910,8720.866541800675,357.242097026493
60.0399208751370,700,9.32879739539574,8799.651661399887,364.373934034023
61.1190486564204,710,9.20468895059942,8914.121381033445,396.304597171690
62.2097341158200,720,9.13240340507322,9014.964590216321,405.834248045761
63.3111086753807,730,9.02672313946675,9150.478587321822,408.163164399047
64.4265730741122,740,8.90302882997674,9271.19732458033,380.891403421891
65.5542974010347,750,8.83180185739450,9359.165106650598,376.018744191961
66.6900749218654,760,8.77728058453607,9470.45577381163,395.945306611210
67.8337447219230,770,8.71028444428118,9583.413571115281,387.071365171914
68.9906638691267,780,8.57700831800022,9723.804821919934,369.396930784582
70.1576310166730,790,8.56143473247727,9871.228264610647,421.321655372027
71.3259841271612,800,8.55667778030727,9958.984945627048,384.445747877456
72.4992119690809,810,8.49030941637796,10039.342186732829,349.969772058241
73.6795602089092,820,8.45384259329506,10144.479788490242,376.293501222015
74.8609822021717,830,8.47490946486621,10211.41230334389,374.616789717319
