T,X,V,WW
166.407049655837,1400,6.47238246000017,10339.334505088329
167.952232413733,1410,6.47107027903006,10467.579021730013
169.497728520716,1420,6.46975817705120,10595.816696978509
171.043538085032,1430,6.46844615398985,10724.047532629324
172.589661214993,1440,6.46713420984815,10852.271530485503
174.136098018957,1450,6.46582234468808,10980.488692356295
175.682848605315,1460,6.46451055861883,11108.699020056101
177.229913082484,1470,6.46319885178687,11236.902515403648
178.777291558895,1480,6.46188722436811,11365.099180221328
180.324984142989,1490,6.46057567656171,11493.289016334693
181.872990943212,1500,6.45926420858521,11621.47202557204
183.421312068010,1510,6.45795282067074,11749.648209764106
184.969947625827,1520,6.45664151306193,11877.8175707438
186.518897725101,1530,6.45533028601160,12005.980110346021
188.068162474264,1540,6.45401913977985,12134.135830407491
189.617741981737,1550,6.45270807463260,12262.28473276664
191.167636355933,1560,6.45139709084041,12390.426819263506
192.717845705253,1570,6.45008618867757,12518.56209173966
194.268370138085,1580,6.44877536842139,12646.69055203815
195.819209762805,1590,6.44746463035165,12774.812202003446
197.370364687776,1600,6.44615397475010,12902.927043481417
198.921835021346,1610,6.44484340190018,13031.035078319288
200.473620871848,1620,6.44353291208667,13159.136308365627
202.025722347603,1630,6.44222250559553,13287.230735470324
203.578139556914,1640,6.44091218271368,13415.318361484578
205.130872608069,1650,6.43960194372893,13543.399188260886
206.683921609342,1660,6.43829178892982,13671.473217653036
208.237286668989,1670,6.43698171860552,13799.540451516097
209.790967895250,1680,6.43567173304584,13927.600891706421
211.344965396350,1690,6.43436183254113,14055.654540081632
212.899279280497,1700,6.43305201738222,14183.701398500629
214.453909655881,1710,6.43174228786044,14311.74146882358
216.008856630677,1720,6.43043264426755,14439.774752911922
217.564120313040,1730,6.42912308689576,14567.801252628362
219.119700811109,1740,6.42781361603767,14695.82096983687
220.675598233007,1750,6.42650423198629,14823.833906402688
222.231812686838,1760,6.42519493503504,14951.840064192322
223.788344280687,1770,6.42388572547769,15079.839445073545
225.345193122622,1780,6.42257660360843,15207.832050915398
226.902359320693,1790,6.42126756972179,15335.817883588188
228.459842982931,1800,6.41995862411270,15463.796944963491
230.017644217349,1810,6.41864976707644,15591.769236914148
231.575763131940,1820,6.41734099890866,15719.734761314272
233.134199834679,1830,6.41603231990539,15847.693520039242
234.692954433523,1840,6.41472373036301,15975.645514965707
236.252027036408,1850,6.41341523057827,16103.590747971588
237.811417751250,1860,6.41210682084827,16231.529220936072
239.371126685948,1870,6.41079850147050,16359.460935739622
240.931153948378,1880,6.40949027274279,16487.38589426397
242.491499646398,1890,6.40818213496333,16615.30409839212
244.052163887847,1900,6.40687408843072,16743.21555000835
245.613146780540,1910,6.40556613344385,16871.12025099821
247.174448432275,1920,6.40425827030201,16999.018203248525
248.736068950827,1930,6.40295049930487,17126.909408647392
250.298008443952,1940,6.40164282075243,17254.79386908419
251.860267019383,1950,6.40033523494508,17382.671586449567
253.422844784834,1960,6.39902774218354,17510.54256263545
