T,X,V,WW
1,0,10,24000.0
1.92984000878965,10,11.5090766271000,23126.714595865767
2.75968699346681,20,12.5917520428755,22394.976358799217
3.52810836177373,30,13.4356345250782,21748.691400868393
4.25383325889183,40,14.1230176300583,21161.394534226845
4.94776024556793,50,14.6984583811279,20618.011897599274
5.61693243052208,60,15.1892154488449,20108.96628793589
6.26622860171118,70,15.6133687761212,19627.715991330453
6.89920025221757,80,15.9836229438073,19169.555255270312
7.51853097856722,90,16.3093009320682,18730.96449422276
8.12630846229182,100,16.5974791569789,18309.229941673737
8.72419514064714,110,16.8536759264838,17902.20737317512
9.31354037076272,120,17.0822905970387,17508.168226057092
9.89545697397820,130,17.2868954503887,17125.695447267874
10.4708751352592,140,17.4704364271363,16753.610705162442
11.0405813764210,150,17.6353752262764,16390.922124485314
11.6052473843514,160,17.7837924216998,16036.785876987457
12.1654517595363,170,17.9174639160455,15690.477380980548
12.7216967093282,180,18.0379187035703,15351.369322244018
13.2744210580451,190,18.1464832436722,15018.914617739136
13.8240105252776,200,18.2443160573249,14692.633026551337
14.3708059455510,210,18.3324350610407,14372.100496005305
14.9151099143013,220,18.4117394227837,14056.940589002696
15.4571922152744,230,18.4830272281429,13746.817515898765
15.9972942932165,240,18.5470099015136,13441.430418228978
16.5356329705642,250,18.6043240849952,13140.508639778294
17.0724035596036,260,18.6555415044959,12843.80778415105
17.6077824868555,270,18.7011772267759,12551.106404602164
18.1419295206159,280,18.7416966186547,12262.203206437887
18.6749896731389,290,18.7775212507313,11976.914668204963
19.2070948341622,300,18.8090339360993,11695.073007530538
19.7383651811108,310,18.8365830550853,11416.524432516568
20.2689104025087,320,18.8604862867203,11141.12763121739
20.7988307642387,330,18.8810338441636,10868.752460791595
21.3282180428619,340,18.8984912929258,10599.27880504139
21.8571563458965,350,18.9131020162700,10332.595574692376
22.3857228355097,360,18.9250893806832,10068.599829264342
22.9139883692995,370,18.9346586451275,9807.196002994557
23.4420180695962,380,18.9419986503990,9548.295220192362
23.9698718308838,390,18.9472833189390,9291.814687774779
24.4976047734377,400,18.9506729905781,9037.677154670582
25.0252676500448,410,18.9523156157042,8785.81042937244
25.5529072116460,420,18.9523478240680,8536.146948231468
26.0805665368916,430,18.9508958847233,8288.62338817955
26.6082853298934,440,18.9480765703449,8043.180318474104
27.1361001898577,450,18.9439979372846,7799.761886821279
27.6640448557838,460,18.9387600311457,7558.315535873587
28.1921504289901,470,18.9324555263273,7318.791746638034
28.7204455758681,480,18.9251703068665,7081.143805788474
29.2489567129584,490,18.9169839949526,6845.327594264905
29.7777081761827,500,18.9079704326757,6611.301394874401
30.3067223758400,510,18.8981981218791,6379.02571689252
30.8360199387831,520,18.8877306263886,6148.463135908054
31.3656198390234,530,18.8766269403811,5919.5781473641955
31.8955395178711,540,18.8649418262147,5692.337032430818
32.4257949945896,550,18.8527261246574,5466.707734999931
32.9564009684373,560,18.8400270401235,5242.659748733086
33.4873709128723,570,18.8268884032367,5020.164013208618
34.0187171626154,580,18.8133509127858,4799.192818320612
34.5504509941919,590,18.7994523589223,4579.719716172601
35.0825827005112,600,18.7852278292525,4361.719439788872
35.6151216599842,610,18.7707098993078,4145.167828036624
36.1480764006314,620,18.7559288087298,3930.04175621419
36.6814546595891,630,18.7409126243698,3716.3190718153046
37.2152634383837,640,18.7256873913898,3503.9785350279217
37.7495090543072,650,18.7102772733451,3292.999763569096
38.2841971881980,660,18.6947046821384,3083.363181495712
38.8193329289046,670,18.6789903986504,2875.049971664916
39.3549208146809,680,18.6631536847820,2668.0420315485167
39.8909648717458,690,18.6472123875733,2462.321932132806
40.4274686502144,700,18.6311830360096,2257.8728796596
40.9644352575949,710,18.6150809310688,2054.6786799861393
41.5018673900253,720,18.5989202295179,1852.7237053611211
42.0397673614130,730,18.5827140219244,1651.9928634317987
42.5781371306255,740,18.5664744053080,1452.4715683130041
43.1169783268680,750,18.5502125508243,1254.1457135633348
43.6562922733752,760,18.5339387668395,1057.0016469267366
44.1960800095327,770,18.5176625577267,861.0261467094887
44.7363423115357,780,18.5013926786893,666.2063996732622
45.2770797116834,790,18.4851371868907,472.52998033461665
45.8182925164029,800,18.4689034891502,279.9848315700975
46.3599808230855,810,18.4526983864449,88.55924643411845
46.9021445358156,820,18.4365281154371,0.0
47.4467614213833,830,18.2865345181288,0.0
47.9957628435449,840,18.1432436074936,0.0
48.5490181782608,850,18.0064304128592,0.0
49.1063960123689,860,17.8758719969640,0.0
49.6677645423608,870,17.7513477908811,0.0
50.2329919599795,880,17.6326399219921,0.0
50.8019468220845,890,17.5195335316394,0.0
51.3744984025460,900,17.4118170793899,0.0
51.9505170242692,910,17.3092826311850,0.0
52.5298743697896,920,17.2117261290209,0.0
53.1124437692268,930,17.1189476401838,0.0
53.6981004647203,940,17.0307515844576,0.0
54.2867218507955,950,16.9469469381092,0.0
54.8781876904147,960,16.8673474138334,0.0
55.4723803067501,970,16.7917716161988,0.0
56.0691847509773,980,16.7200431724733,0.0
56.6684889466135,990,16.6519908390171,0.0
57.2701838111282,1000,16.5874485837050,0.0
57.8741633557245,1010,16.5262556450882,0.0
58.4803247643278,1020,16.4682565692090,0.0
59.0885684529351,1030,16.4133012251623,0.0
59.6987981105559,1040,16.3612448006321,0.0
60.3109207230436,1050,16.3119477787422,0.0
60.9248465811425,1060,16.2652758976365,0.0
61.5404892740977,1070,16.2211000942519,0.0
62.1577656701659,1080,16.1792964337705,0.0
62.7765958853478,1090,16.1397460262389,0.0
63.3969032416259,1100,16.1023349318218,0.0
64.0186142159498,1110,16.0669540561218,0.0
64.6416583811525,1120,16.0334990369473,0.0
65.2659683399238,1130,16.0018701238492,0.0
65.8914796528966,1140,15.9719720516767,0.0
66.5181307618353,1150,15.9437139093266,0.0
67.1458629088401,1160,15.9170090047804,0.0
67.7746200524131,1170,15.8917747274385,0.0
68.4043487811537,1180,15.8679324086789,0.0
69.0349982257869,1190,15.8454071814820,0.0
69.6665199701544,1200,15.8241278398826,0.0
70.2988679617344,1210,15.8040266989288,0.0
70.9319984221940,1220,15.7850394557521,0.0
71.5658697584168,1230,15.7671050522791,0.0
72.2004424743952,1240,15.7501655400473,0.0
72.8356790843228,1250,15.7341659475224,0.0
73.4715440271753,1260,15.7190541502541,0.0
74.1080035830253,1270,15.7047807441539,0.0
74.7450257912942,1280,15.6912989221256,0.0
75.3825803711088,1290,15.6785643542344,0.0
76.0206386438971,1300,15.6665350715579,0.0
76.6591734583283,1310,15.6551713538248,0.0
77.2981591176735,1320,15.6444356209144,0.0
77.9375713096431,1330,15.6342923282573,0.0
78.5773870387327,1340,15.6247078661558,0.0
79.2175845610936,1350,15.6156504630140,0.0
79.8581433219259,1360,15.6070900924524,0.0
80.4990438953805,1370,15.5989983842617,0.0
81.1402679269413,1380,15.5913485391351,0.0
81.7817980782529,1390,15.5841152471098,0.0
82.4236179743470,1400,15.5772746096326,0.0
