x,y
1160,84.43756846827797
1170,169.6689624587832
1180,255.65437095690692
1190,342.35409864021904
1200,429.7288139968744
1210,517.739776621309
1220,606.3490411388028
1230,695.5196360750556
1240,785.2157168143334
1250,875.4026925468048
1260,966.047327768176
1270,1057.1178194475535
1280,1148.5838514160632
1290,1240.4166278499204
1300,1332.588887934018
1310,1425.0749039065688
1320,1517.850464715434
1330,1610.8928474773138
1340,1704.1807788369013
1350,1797.6943881886252
1360,1891.4151545615543
1370,1985.3258487895944
1380,2079.410472403544
1390,2173.654194496345
1400,2268.043287633625
1410,2362.5650637125336
1420,2457.2078105156247
1430,2551.960729564811
1440,2646.8138757539173
1450,2741.7580991271234
1460,2836.7849890741522
1470,2931.886821130561
1480,3027.056506501895
1490,3122.287544372546
1500,3217.5739770126966
1510,3312.9103476584514
1520,3408.2916611100086
1530,3503.7133469693335
1540,3599.1712254212994
1550,3694.6614754496554
1560,3790.180605370705
1570,3885.725425562452
1580,3981.2930232645995
1590,4076.880739324594
1600,4172.486146766456
1610,4268.107031061994
1620,4363.741371987903
1630,4459.3873269568185
1640,4555.04321571555
1650,4650.70750630912
1660,4746.378802214855
1670,4842.055830556447
1680,4937.7374313135115
1690,5033.422547447707
1700,5129.110215871845
1710,5224.799559193564
1720,5320.489778170094
1730,5416.180144815318
1740,5511.869996104787
1750,5607.558728228497
1760,5703.245791345189
1770,5798.930684795566
1780,5894.61295273526
1790,5990.292180151543
1800,6085.967989230747
1810,6181.640036046054
1820,6277.308007537886
1830,6372.971618761423
1840,6468.630610377944
1850,6564.284746368659
1860,6659.93381195152
1870,6755.577611683179
1880,6851.215967729798
1890,6946.848718291802
1900,7042.475716168996
1910,7138.096827453619
1920,7233.711930340004
1930,7329.320914040506
1940,7424.923677798258
1950,7520.520129988158
1960,7616.110187298232
1970,7711.693773984218
1980,7807.270821190855
1990,7902.8412663339195
2000,7998.405052537599
2010,8093.962128122254
2020,8189.512446138082
2030,8285.055963940562
2040,8380.592642803967
2050,8476.122447569522
2060,8571.645346325113
2070,8667.16131011373
2080,8762.67031266807
2090,8858.172330168936
2100,8953.66734102534
2110,9049.155325674328
2120,9144.636266398777
2130,9240.110147161555
2140,9335.57695345457
2150,9431.036672161374
2160,9526.4892914321
2170,9621.934800569654
2180,9717.373189926102
2190,9812.80445080839
2200,9908.228575392517
2210,10003.645556645437
2220,10099.055388253966
2230,10194.458064560082
2240,10289.853580502042
2250,10385.241931560797
2260,10480.62311371121
2270,10575.997123377672
2280,10671.363957393709
2290,10766.723612965208
2300,10862.076087636966
2310,10957.421379262232
2320,11052.759485975004
2330,11148.090406164803
2340,11243.414138453725
2350,11338.730681675554
2360,11434.040034856753
2370,11529.34219719917
2380,11624.637168064293
2390,11719.92494695893
2400,11815.205533522167
2410,11910.478927513504
2420,12005.745128802071
2430,12101.004137356793
2440,12196.25595323745
2450,12291.500576586552
2460,12386.738007621923
2470,12481.968246629978
2480,12577.191293959582
2490,12672.407150016477
2500,12767.615815258207
2510,12862.817290189496
2520,12958.011575358047
2530,13053.198671350718
2540,13148.37857879004
2550,13243.551298331053
2560,13338.71683065842
2570,13433.875176483813
2580,13529.026336543517
2590,13624.170311596268
2600,13719.307102421275
2610,13814.436709816418
2620,13909.559134596622
2630,14004.67437759236
2640,14099.782439648307
2650,14194.8833216221
2660,14289.977024383223
2670,14385.063548811984
2680,14480.142895798592
2690,14575.215066242306
2700,14670.280061050673
2710,14765.337881138823
2720,14860.388527428839
2730,14955.432000849174
2740,15050.46830233413
2750,15145.497432823371
2760,15240.519393261497
2770,15335.534184597636
2780,15430.541807785099
2790,15525.542263781035
2800,15620.535553546144
2810,15715.521678044403
2820,15810.500638242815
2830,15905.472435111189
2840,16000.437069621934
2850,16095.394542749873
2860,16190.344855472073
2870,16285.288008767693
2880,16380.224003617841
2890,16475.15284100545
2900,16570.074521915158
2910,16664.989047333213
2920,16759.89641824736
2930,16854.79663564677
2940,16949.689700521947
2950,17044.575613864672
2960,17139.454376667923
2970,17234.32598992582
2980,17329.190454633575
2990,17424.04777178744
3000,17518.897942384654
3010,17613.74096742342
3020,17708.57684790285
3030,17803.40558482294
3040,17898.227179184545
3050,17993.041631989337
3060,18087.84894423979
3070,18182.649116939156
3080,18277.442151091436
3090,18372.228047701374
3100,18467.00680777443
3110,18561.778432316765
3120,18656.542922335237
3130,18751.300278837374
3140,18846.05050283137
3150,18940.79359532607
3160,19035.52955733097
3170,19130.258389856193
3180,19224.980093912494
3190,19319.69467051125
3200,19414.402120664447
3210,19509.102445384684
3220,19603.795645685157
3230,19698.48172257966
3240,19793.160677082586
3250,19887.83251020891
3260,19982.497222974198
3270,20077.15481639459
3280,20171.80529148682
3290,20266.448649268183
3300,20361.084890756556
3310,20455.714016970385
3320,20550.33602892869
3330,20644.950927651058
3340,20739.55871415764
3350,20834.159389469158
3360,20928.75295460689
3370,21023.339410592685
3380,21117.91875844895
3390,21212.49099919865
3400,21307.05613386532
3410,21401.61416347305
3420,21496.16508904648
3430,21590.708911610825
3440,21685.245632191847
3450,21779.775251815867
3460,21874.297771509766
3470,21968.81319230098
3480,22063.321515217503
3490,22157.822741287888
3500,22252.31687154124
3510,22346.803907007223
3520,22441.28384871606
3530,22535.75669769852
3540,22630.222454985946
3550,22724.681121610214
3560,22819.13269860378
