T,X,V,WW,P
1,0,10,24000.0,0
1.93259827289188,10,11.4454611179820,23257.616718998102,1498.77 - 191.61*log(3)
2.76780154475870,20,12.5008052266130,22636.018229610316,1236.39836078609
3.54199775971978,30,13.3324391286377,22088.339457823127,1199.49715640760
4.27331458303957,40,14.0154891047246,21592.032430592702,1170.66565036331
4.97244954535052,50,14.5912908135492,21134.12780182806,1146.91562642761
5.64637906046058,60,15.0854031901757,20706.337055862037,1126.66977895809
6.29996711980293,70,15.5149110507613,20302.976882468345,1108.99076617395
6.93677181979855,80,15.8918923226081,19919.94799340775,1093.27503986736
7.55949215883218,90,16.2252536036629,19554.17833961666,1079.11067746904
8.17023444319137,100,16.5217830960876,19203.29566384917,1066.20379449092
8.77068040192940,110,16.7867931528637,18865.423358674085,1054.33726110552
9.36219817854547,120,17.0245322047865,18539.047145186687,1043.34605114012
9.94591836439680,130,17.2384596957434,18222.924636900236,1033.10176976787
10.5227877112829,140,17.4314358498586,17916.022024704827,1023.50253713855
11.0936080771777,150,17.6058564314868,17617.4685478781,1014.46614420639
11.6590653033447,160,17.7637508075436,17326.52299484118,1005.92528623633
12.2197510455744,170,17.9068548341600,17042.54855942119,997.824159547042
12.7761795620253,180,18.0366660471343,16764.993636383664,990.115978406956
13.3288008185647,190,18.1544861449530,16493.37692538836,982.761128535125
13.8780108575130,200,18.2614541723379,16227.275717101986,975.725770707392
14.4241601005152,210,18.3585727823084,15966.31656767512,968.980768797605
14.9675600697028,220,18.4467292678543,15710.167791846214,962.500855731749
15.5084888823020,230,18.5267125865401,15458.533359001542,956.263976628081
16.0471957830199,240,18.5992272767585,15211.147884400732,950.250765755868
16.5839049135648,250,18.6649049352220,14967.772484571631,944.444125852432
17.1188184714674,260,18.7243137610067,14728.191321368367,938.828886647856
17.6521193756543,270,18.7779665520090,14492.208699835788,933.391525337621
18.1839735303432,280,18.8263274516672,14259.646615177653,928.119935980433
18.7145317593375,290,18.8698176781754,14030.34266675552,923.003237886309
19.2439314679396,300,18.9088204189414,13804.14827421057,918.031615338133
19.7722980782860,310,18.9436850353457,13580.927143951096,913.196182689532
20.2997462750363,320,18.9747306938700,13360.553944416306,908.488870163518
20.8263810914135,330,19.0022495171665,13142.913156457163,903.902326651980
21.3522988601167,340,19.0265093310333,12927.898071409283,899.429836565784
21.8775880492756,350,19.0477560693779,12715.40991437147,895.065248366032
22.4023300001342,360,19.0662158882181,12505.357074143118,890.802912860753
22.9265995803481,370,19.0820970309459,12297.65442443756,886.637629708238
23.4504657645012,380,19.0955914799720,12092.22272354522,882.564600851180
23.9739921515979,390,19.1068764241126,11888.988081698857,878.579389831411
24.4972374277649,400,19.1161155663872,11687.88148709229,874.677886116233
25.0202557811461,410,19.1234602930518,11488.838382900267,870.856273713596
25.5430972749340,420,19.1290507215256,11291.798288800474,867.111003472177
26.0658081836221,430,19.1330166422465,11096.704461455822,863.438768559405
26.5884312968384,440,19.1354783673118,10903.503589213044,859.836482690029
27.1110061945180,450,19.1365474969383,10712.145516941795,856.301260743454
27.6335694966588,460,19.1363276132464,10522.582997500145,852.830401462392
28.1561550904781,470,19.1349149095878,10334.771466786504,849.421371970582
28.6787943374176,480,19.1323987625437,10148.668839739705,846.071793885092
29.2015162621336,490,19.1288622527996,9964.23532499059,842.779430830395
29.7243477253437,500,19.1243826403111,9781.433256159884,839.542177188055
30.2473135821711,510,19.1190317985050,9600.226938046655,836.358047938399
30.7704368274306,520,19.1128766116794,9420.582506165967,833.225169469650
31.2937387291324,530,19.1059793392706,9242.467798278909,830.141771246248
31.8172389513307,540,19.0983979502259,9065.85223671771,827.106178241954
32.3409556673181,550,19.0901864303479,8890.706720446797,824.116804055216
32.8649056640547,560,19.0813950651555,8717.00352592075,821.172144634458
33.3891044386255,570,19.0720707005236,8544.716215904693,818.270772549754
33.9135662874331,580,19.0622569831212,8373.819555513955,815.411331754926
34.4383043887597,590,19.0519945824489,8204.289434809873,812.592532790658
34.9633308792670,600,19.0413213960931,8036.102797358697,809.813148384947
35.4886569249454,610,19.0302727396451,7869.237574222362,807.072009412143
36.0142927869717,620,19.0188815225887,7703.672622904216,804.368001176179
36.5402478828916,630,19.0071784113310,7539.387670820938,801.700059987360
37.0665308435022,640,18.9951919804358,7376.3632629143785,799.067170005415
37.5931495657747,650,18.9829488530201,7214.580713054833,796.468360324403
38.1201112621259,660,18.9704738311795,7054.022058920785,793.902702277640
38.6474225063192,670,18.9577900172337,6894.670020070063,791.369306943085
39.1750892762508,680,18.9449189265060,6736.5079589439765,788.867322831592
39.7031169938534,690,18.9318805922912,6579.519844569837,786.395933742216
40.2315105623310,700,18.9186936636050,6423.690218748607,783.954356770349
40.7602744009193,710,18.9053754962584,6269.004164533523,781.541840455802
41.2894124773496,720,18.8919422377544,6115.447276822746,779.157663059255
41.8189283381801,730,18.8784089064607,5963.005634904531,776.801130956535
42.3488251371454,740,18.8647894654752,5811.665776807355,774.471577141223
42.8791056616614,750,18.8510968915686,5661.414675320006,772.168359826939
43.4097723576143,760,18.8373432395528,5512.239715557993,769.890861141457
43.9408273525496,770,18.8235397024019,5364.128673962934,767.638485905512
44.4722724773712,780,18.8096966674221,5217.069698630881,765.410660489791
45.0041092866489,790,18.7958237687453,5071.051290874016,763.206831744186
45.5363390776292,800,18.7819299364009,4926.062287927816,761.026465993871
46.0689629080332,810,18.7680234422000,4782.091846722802,758.869048097289
46.6019816127222,820,18.7541119426489,4639.129428646327,756.734080561483
47.1353958193057,830,18.7402025190922,4497.164785225689,754.621082710648
