x,y,xx
2200,486.8467893,2400
2210,486.8021478,2410
2220,486.7572949,2420
2230,486.7122391,2430
2240,486.6669888,2440
2250,486.6215521,2450
2260,486.575937,2460
2270,486.5301513,2470
2280,486.4842025,2480
2290,486.4380979,2490
2300,486.3918447,2500
2310,486.3454497,2510
2320,486.2989196,2520
2330,486.2522608,2530
2340,486.2054796,2540
2350,486.1585819,2550
2360,486.1115734,2560
2370,486.0644598,2570
2380,486.0172464,2580
2390,485.9699383,2590
2400,485.9225404,2600
2410,485.8750574,2610
2420,485.8274938,2620
2430,485.779854,2630
2440,485.732142,2640
2450,485.6843618,2650
2460,485.6365172,2660
2470,485.5886118,2670
2480,485.540649,2680
2490,485.4926321,2690
2500,485.4445641,2700
2510,485.3964481,2710
2520,485.3482869,2720
2530,485.3000832,2730
2540,485.2518395,2740
2550,485.2035583,2750
2560,485.1552418,2760
2570,485.1068924,2770
2580,485.058512,2780
2590,485.0101026,2790
2600,484.9616661,2800
2610,484.9132043,2810
2620,484.864719,2820
2630,484.8162116,2830
2640,484.7676837,2840
2650,484.7191368,2850
2660,484.6705722,2860
2670,484.6219913,2870
2680,484.5733951,2880
2690,484.524785,2890
2700,484.4761619,2900
2710,484.4275271,2910
2720,484.3788813,2920
2730,484.3302256,2930
2740,484.2815608,2940
2750,484.2328878,2950
2760,484.1842074,2960
2770,484.1355202,2970
2780,484.0868271,2980
2790,484.0381287,2990
2800,483.9894256,3000
2810,483.9407184,3010
2820,483.8920077,3020
2830,483.843294,3030
2840,483.7945778,3040
2850,483.7458596,3050
2860,483.6971399,3060
2870,483.648419,3070
2880,483.5996974,3080
2890,483.5509755,3090
2900,483.5022536,3100
2910,483.453532,3110
2920,483.4048111,3120
2930,483.3560912,3130
2940,483.3073725,3140
2950,483.2586554,3150
2960,483.2099401,3160
2970,483.1612268,3170
2980,483.1125158,3180
2990,483.0638073,3190
3000,483.0151014,3200
3010,482.9663984,3210
3020,482.9176985,3220
3030,482.8690018,3230
3040,482.8203085,3240
3050,482.7716188,3250
3060,482.7229327,3260
3070,482.6742505,3270
3080,482.6255722,3280
3090,482.576898,3290
3100,482.528228,3300
3110,482.4795622,3310
3120,482.4309009,3320
3130,482.3822441,3330
3140,482.3335919,3340
3150,482.2849444,3350
3160,482.2363016,3360
3170,482.1876636,3370
3180,482.1390306,3380
3190,482.0904026,3390
3200,482.0417796,3400
3210,481.9931617,3410
3220,481.9445489,3420
3230,481.8959414,3430
3240,481.8473392,3440
3250,481.7987423,3450
3260,481.7501507,3460
3270,481.7015646,3470
3280,481.6529839,3480
3290,481.6044087,3490
3300,481.555839,3500
3310,481.5072749,3510
3320,481.4587164,3520
3330,481.4101635,3530
3340,481.3616163,3540
3350,481.3130747,3550
3360,481.2645389,3560
3370,481.2160088,3570
3380,481.1674844,3580
3390,481.1189658,3590
3400,481.0704531,3600
3410,481.0219461,3610
3420,480.973445,3620
3430,480.9249498,3630
3440,480.8764604,3640
3450,480.8279769,3650
3460,480.7794994,3660
3470,480.7310277,3670
3480,480.682562,3680
3490,480.6341022,3690
3500,480.5856484,3700
3510,480.5372005,3710
3520,480.4887587,3720
3530,480.4403228,3730
3540,480.3918929,3740
3550,480.343469,3750
3560,480.2950512,3760
3570,480.2466394,3770
3580,480.1982336,3780
3590,480.1498338,3790
3600,480.1014401,3800
3610,480.0530525,3810
3620,480.0046709,3820
3630,479.9562954,3830
3640,479.9079259,3840
3650,479.8595625,3850
3660,479.8112053,3860
3670,479.7628541,3870
3680,479.714509,3880
3690,479.66617,3890
3700,479.6178371,3900
3710,479.5695103,3910
3720,479.5211896,3920
3730,479.472875,3930
3740,479.4245665,3940
3750,479.3762642,3950
3760,479.327968,3960
3770,479.2796779,3970
3780,479.2313939,3980
3790,479.1831161,3990
3800,479.1348444,4000
3810,479.0865788,4010
3820,479.0383194,4020
3830,478.9900661,4030
3840,478.941819,4040
3850,478.893578,4050
3860,478.8453432,4060
3870,478.7971145,4070
3880,478.748892,4080
3890,478.7006756,4090
3900,478.6524653,4100
3910,478.6042613,4110
3920,478.5560633,4120
3930,478.5078716,4130
3940,478.459686,4140
3950,478.4115066,4150
3960,478.3633333,4160
3970,478.3151662,4170
3980,478.2670053,4180
3990,478.2188505,4190
4000,478.1707019,4200
4010,478.1225595,4210
4020,478.0739918,4220
4030,478.024562,4230
4040,477.9742755,4240
4050,477.9231399,4250
4060,477.8711642,4260
4070,477.8183593,4270
4080,477.7647379,4280
4090,477.7103144,4290
4100,477.6551049,4300
4110,477.599127,4310
4120,477.5423999,4320
4130,477.4849441,4330
4140,477.4267815,4340
4150,477.3679349,4350
,475,4360
,472,4370
,465,4380
,455,4390
,445,4400
,430,4410
,412,4420
,400,4430
,390,4440
,380,4450
