x,y
10,492.22731
20,492.154854521570
30,492.082409014033
40,492.009973480166
50,491.937547922745
60,491.865132344546
70,491.792726748348
80,491.720331136930
90,491.647945513071
100,491.575569879554
110,491.503204239160
120,491.430848594673
130,491.358502948875
140,491.286167304554
150,491.213841664494
160,491.141526031483
170,491.069220408309
180,490.996924797760
190,490.924639202629
200,490.852363625704
210,490.780098069779
220,490.707842537647
230,490.635597032101
240,490.563361555937
250,490.491136111952
260,490.418920702941
270,490.346715331704
280,490.274520001039
290,490.202334713747
300,490.130159472628
310,490.057994280486
320,489.985839140122
330,489.913694054342
340,489.841559025951
350,489.769434057754
360,489.697319152559
370,489.625214313174
380,489.553119542408
390,489.481034843072
400,489.408960217976
410,489.336895669933
420,489.264841201757
430,489.192796816260
440,489.120762516259
450,489.048738304571
460,488.976724184011
470,488.904720157398
480,488.832726227553
490,488.760742397294
500,488.688768669443
510,488.616805046823
520,488.544851532257
530,488.472908128569
540,488.400974838585
550,488.329051665130
560,488.257138611033
570,488.185235679121
580,488.113342872224
590,488.041460193172
600,487.969587644798
610,487.897725229932
620,487.825872951409
630,487.754030812063
640,487.682198814730
650,487.610376962245
660,487.538565257447
670,487.466763703174
680,487.394972302265
690,487.323191057561
700,487.251419971904
710,487.179659048136
720,487.107908289100
730,487.036167697641
740,486.964437276605
750,486.892717028839
760,486.821006957189
770,486.749307064505
780,486.677617353636
790,486.605937827433
800,486.534268488748
810,486.462609340433
820,486.390960385342
830,486.319321626330
840,486.247693066252
850,486.176074707966
860,486.104466554329
870,486.032868608199
880,485.961280872438
890,485.889703349905
900,485.818136043462
910,485.746578955973
920,485.675032090301
930,485.603495449311
940,485.531969035869
950,485.460452852842
960,485.388946903099
970,485.317451189507
980,485.245965714937
990,485.174490482261
1000,485.103025494349
