t,V,X,P
0,0,0,0
0.876354687422211,11.4109049036012,10,492.31
1.75277460469496,11.4100556170814,20,492.237533147326
2.62925975975715,11.4092063536325,30,492.165076262380
3.50581016054540,11.4083571133015,40,492.092629347937
4.38242581499412,11.4075078961358,50,492.020192406772
5.25910673103545,11.4066587021824,60,491.947765441660
6.13585291659926,11.4058095314886,70,491.875348455379
7.01266437961318,11.4049603841017,80,491.802941450707
7.88954112800256,11.4041112600689,90,491.730544430423
8.76648316969049,11.4032621594377,100,491.658157397306
9.64349051259778,11.4024130822553,110,491.585780354138
10.5205631646430,11.4015640285692,120,491.513413303701
11.3977011337423,11.4007149984267,130,491.441056248777
12.2749044278097,11.3998659918754,140,491.368709192151
13.1521730547568,11.3990170089626,150,491.296372136607
14.0295070224931,11.3981680497360,160,491.224045084932
14.9069063389256,11.3973191142431,170,491.151728039913
15.7843710119591,11.3964702025314,180,491.079421004337
16.6619010494960,11.3956213146485,190,491.007123980993
17.5394964594365,11.3947724506422,200,490.934836972673
18.4171572496784,11.3939236105600,210,490.862559982165
19.2948834281172,11.3930747944498,220,490.790293012263
20.1726750026461,11.3922260023591,230,490.718036065760
21.0505319811560,11.3913772343358,240,490.645789145449
21.9284543715353,11.3905284904277,250,490.573552254125
22.8064421816703,11.3896797706825,260,490.501325394585
23.6844954194447,11.3888310751483,270,490.429108569626
24.5626140927401,11.3879824038728,280,490.356901782045
25.4407982094356,11.3871337569040,290,490.284705034641
26.3190477774079,11.3862851342898,300,490.212518330215
27.1973628045316,11.3854365360783,310,490.140341671567
28.0757432986785,11.3845879623174,320,490.068175061500
28.9541892677185,11.3837394130552,330,489.996018502817
29.8327007195188,11.3828908883398,340,489.923871998321
30.7112776619444,11.3820423882193,350,489.851735550818
31.5899201028578,11.3811939127418,360,489.779609163113
32.4686280501191,11.3803454619556,370,489.707492838015
33.3474015115862,11.3794970359088,380,489.635386578330
34.2262404951144,11.3786486346496,390,489.563290386868
35.1051450085567,11.3778002582263,400,489.491204266438
35.9841150597637,11.3769519066874,410,489.419128219853
36.8631506565834,11.3761035800810,420,489.347062249924
37.7422518068618,11.3752552784555,430,489.275006359464
38.6214185184420,11.3744070018594,440,489.202960551287
39.5006507991651,11.3735587503410,450,489.130924828209
40.3799486568694,11.3727105239489,460,489.058899193045
41.2593120993911,11.3718623227315,470,488.986883648612
42.1387411345638,11.3710141467374,480,488.914878197729
43.0182357702186,11.3701659960151,490,488.842882843216
43.8977960141843,11.3693178706132,500,488.770897587891
44.7774218742871,11.3684697705803,510,488.698922434576
45.6571133583510,11.3676216959652,520,488.626957386094
46.5368704741972,11.3667736468163,530,488.555002445267
47.4166932296447,11.3659256231826,540,488.483057614919
48.2965816325100,11.3650776251127,550,488.411122897877
49.1765356906069,11.3642296526554,560,488.339198296965
50.0565554117471,11.3633817058595,570,488.267283815012
50.9366408037395,11.3625337847740,580,488.195379454845
51.8167918743908,11.3616858894475,590,488.123485219294
52.6970086315048,11.3608380199291,600,488.051601111189
53.5772910828832,11.3599901762678,610,487.979727133362
54.4576392363251,11.3591423585124,620,487.907863288643
55.3380530996271,11.3582945667119,630,487.836009579868
56.2185326805830,11.3574468009155,640,487.764166009869
57.0990779869846,11.3565990611722,650,487.692332581483
57.9796890266209,11.3557513475311,660,487.620509297546
58.8603658072783,11.3549036600413,670,487.548696160895
59.7411083367408,11.3540559987520,680,487.476893174368
60.6219166227899,11.3532083637123,690,487.405100340805
61.5027906732046,11.3523607549716,700,487.333317663045
62.3837304957611,11.3515131725790,710,487.261545143932
63.2647360982334,11.3506656165839,720,487.189782786306
64.1458074883927,11.3498180870357,730,487.118030593012
65.0269446740079,11.3489705839835,740,487.046288566893
65.9081476628449,11.3481231074770,750,486.974556710796
66.7894164626676,11.3472756575653,760,486.902835027566
67.6707510812370,11.3464282342982,770,486.831123520052
68.5521515263116,11.3455808377249,780,486.759422191101
69.4336178056472,11.3447334678950,790,486.687731043563
70.3151499269973,11.3438861248582,800,486.616050080289
71.1967478981126,11.3430388086639,810,486.544379304130
72.0784117267412,11.3421915193618,820,486.472718717939
72.9601414206288,11.3413442570015,830,486.401068324569
73.8419369875184,11.3404970216328,840,486.329428126875
74.7237984351503,11.3396498133052,850,486.257798127713
75.6057257712623,11.3388026320687,860,486.186178329939
76.4877190035896,11.3379554779729,870,486.114568736411
77.3697781398647,11.3371083510677,880,486.042969349987
78.2519031878175,11.3362612514029,890,485.971380173527
79.1340941551755,11.3354141790283,900,485.899801209893
80.0163510496632,11.3345671339940,910,485.828232461945
80.8986738790027,11.3337201163498,920,485.756673932546
81.7810626509134,11.3328731261457,930,485.685125624560
82.6635173731122,11.3320261634317,940,485.613587540853
83.5460380533130,11.3311792282579,950,485.542059684289
84.4286246992275,11.3303323206743,960,485.470542057735
85.3112773185643,11.3294854407310,970,485.399034664060
86.1939959190297,11.3286385884782,980,485.327537506132
87.0767805083272,11.3277917639660,990,485.256050586821
87.9596310941576,11.3269449672447,1000,485.184573908998
88.8425476842189,11.3260981983644,1010,485.113107475535
89.7255302862068,11.3252514573754,1020,485.041651289305
90.6085789078139,11.3244047443281,1030,484.970205353182
91.4916935567304,11.3235580592728,1040,484.898769670041
92.3748742406436,11.3227114022597,1050,484.827344242757
93.2581209672383,11.3218647733395,1060,484.755929074209
94.1414337441965,11.3210181725623,1070,484.684524167273
95.0248125791974,11.3201715999788,1080,484.613129524829
95.9082574799177,11.3193250556393,1090,484.541745149758
96.7917684540312,11.3184785395946,1100,484.470371044939
97.6753455092091,11.3176320518950,1110,484.399007213256
