T,X,V,WW
1,0,10,24000.0
1.94404895565595,10,11.1853420102600,23113.369863665437
2.80549058378153,20,12.0315531884527,22354.433170031625
3.61478872429786,30,12.6812182844189,21675.415669894017
4.38753909979215,40,13.2003608571079,21052.617265847377
5.13308186301541,50,13.6257328112586,20472.166195966896
5.85756415192639,60,13.9801870381602,19925.09485697502
6.56529769612064,70,14.2790358912404,19405.20391756225
7.25944943313403,80,14.5331083901390,18907.994712484673
7.94242811655494,90,14.7503824207655,18430.080313078503
8.61611666246299,100,14.9369265315378,17968.836021726296
9.28201968050229,110,15.0974770650826,17522.179882430806
9.94136136166476,120,15.2358092588436,17088.428467639482
10.5951528104402,130,15.3549854624072,16666.19855189848
11.2442397748690,140,15.4575267216882,16254.337968148837
11.8893373571576,150,15.5455347516591,15851.875694601762
12.5310558175189,160,15.6207807517800,15457.98500319675
13.1699201274339,170,15.6847714438963,15071.955713986823
13.8063850378238,180,15.7387990837372,14693.172943675252
14.4408468654063,190,15.7839799559516,14321.100579164395
15.0736528356762,200,15.8212844372847,13955.268250421388
15.7051085783273,210,15.8515607822892,13595.260936285342
16.3354842060321,220,15.8755541647502,13240.710579744507
16.9650192932049,230,15.8939220844863,12891.289256712653
17.5939269907536,240,15.9072469550340,12546.70355992644
18.2223974550339,250,15.9160464799267,12206.689943492287
18.8506007271997,260,15.9207822762304,11871.010834373837
19.4786891681610,270,15.9218670955556,11539.451361713078
20.1067995312571,280,15.9196709128529,11211.816588026784
20.7350547373137,290,15.9145260937008,10887.929151240174
21.3635654034581,300,15.9067318058509,10567.627245453243
21.9924311668348,310,15.8965578065635,10250.762882862493
22.6217418364145,320,15.8842477109345,9937.200390509202
23.2515783998645,330,15.8700218259878,9626.815104309624
23.8820139075329,340,15.8540796193235,9319.492229737218
24.5131142516946,350,15.8366018785121,9015.125844010683
25.1449388560753,360,15.8177526074172,8713.618019021133
25.7775412881543,370,15.7976806976251,8414.878047752414
26.4109698046977,380,15.7765214067220,8118.821759796603
27.0452678393149,390,15.7543976699415,7825.370913884081
27.6804744394596,400,15.7314212674598,7534.45265724372
28.3166246591784,410,15.7076938661359,7245.999043168346
28.9537499129725,420,15.6833079516360,6959.946599450001
29.5918782953704,430,15.6583476645066,6676.2359414204175
30.2310348701567,440,15.6328895517992,6394.811424225802
30.8712419326649,450,15.6070032442031,6115.620829713825
31.5125192480812,460,15.5807520672659,5838.6150839409775
32.1548842683228,470,15.5541935941232,5563.748001840882
32.7983523297250,480,15.5273801461770,5290.976056045723
33.4429368334928,490,15.5003592473323,5020.258167237375
34.0886494106341,500,15.4731740366933,4751.555513733192
34.7355000728873,510,15.4458636440147,4484.831358292867
35.3834973509795,520,15.4184635316846,4220.0508903748705
36.0326484213995,530,15.3910058065717,3957.1810822797765
36.6829592227398,540,15.3635195046806,3696.190557798511
37.3344345625455,550,15.3360308512283,3437.0494721404025
37.9870782155101,560,15.3085634984632,3179.7294020524337
38.6408930137691,570,15.2811387432980,2924.2032451602436
39.2958809299695,580,15.2537757266039,2670.4451276657264
39.9520431537227,590,15.2264916158246,2418.430319627562
40.6093801619910,600,15.1993017723948,2168.1351571315076
41.2678917839058,610,15.1722199053012,1919.536970728256
41.9275772604690,620,15.1452582119915,1672.6140195793846
42.5884352995470,630,15.1184275077178,1427.345430807501
43.2504641265318,640,15.0917373443011,1183.7111435960098
43.9136615310093,650,15.0651961192062,941.6918576278207
44.5780249097466,660,15.0388111757395,701.2689854914391
45.2435513062823,670,15.0125888951024,462.4246087178242
45.9102374473828,680,14.9865347809732,225.1414371426684
46.5780797766022,690,14.9606535372264,0.0
47.2516728468813,700,14.7308633183650,0.0
47.9356030963795,710,14.5118847757181,0.0
48.6296766067086,720,14.3035068252638,0.0
49.3336786250883,730,14.1055026347237,0.0
50.0473747136763,740,13.9176297878857,0.0
50.7705121332857,750,13.7396307239576,0.0
51.5028214397267,760,13.5712334479050,0.0
52.2440182650276,770,13.4121524993823,0.0
52.9938052507537,780,13.2620901598632,0.0
53.7518740967887,790,13.1207378703451,0.0
54.5179076864674,800,12.9877778259288,0.0
55.2915822479228,810,12.8628847089464,0.0
56.0725695119613,820,12.7457275193499,0.0
56.8605388286092,830,12.6359714598442,0.0
57.6551592075275,840,12.5332798337425,0.0
58.4561012515526,850,12.4373159155976,0.0
59.2630389574275,860,12.3477447580956,0.0
60.0756513630617,870,12.2642349032168,0.0
60.8936240261266,880,12.1864599709387,0.0
61.7166503242012,890,12.1141001044681,0.0
62.5474047315035,900,11.9604035324678,80.95604043439796
63.3885830183789,910,11.8157689057096,162.91649099452778
64.2398040166839,920,11.6798920798921,245.8437932921654
65.1006726772048,930,11.5524555675387,329.6990528850773
65.9707831823527,940,11.4331306099320,414.4423440216291
66.8497220909603,950,11.3215794206937,500.0330172524175
67.7370714499683,960,11.2174575403039,586.4300035440568
68.6324118121124,970,11.1204162400168,673.59210895955
69.5353251051911,980,11.0301049155689,761.4782946080395
70.4453973066224,990,10.9461734154739,850.0479373652145
71.3622208862074,1000,10.8682742550948,939.2610677694603
72.2853969897595,1010,10.7960646755228,1029.078582452248
73.2145373459805,1020,10.7292085150043,1119.4624294120486
74.1492658882087,1030,10.6673778696646,1210.3757653439384
75.0892200910629,1040,10.6102545290928,1301.783085056024
76.0340520292892,1050,10.5575311805491,1393.6503237132565
76.9834291721288,1060,10.5089123828387,1485.9449332338945
77.9370349312102,1070,10.4641153170622,1578.6359346181978
78.8945689833417,1080,10.4228703264032,1671.693948315325
79.8557473917347,1090,10.3849212608403,1765.0912049416522
