t,V,X
0,0,0
0.876354687422211,11.4109049036012,10
1.75277460469496,11.4100556170814,20
2.62925975975715,11.4092063536325,30
3.50581016054540,11.4083571133015,40
4.38242581499412,11.4075078961358,50
5.25910673103545,11.4066587021824,60
6.13585291659926,11.4058095314886,70
7.01266437961318,11.4049603841017,80
7.88954112800256,11.4041112600689,90
8.76648316969049,11.4032621594377,100
9.64349051259778,11.4024130822553,110
10.5205631646430,11.4015640285692,120
11.3977011337423,11.4007149984267,130
12.2749044278097,11.3998659918754,140
13.1521730547568,11.3990170089626,150
14.0295070224931,11.3981680497360,160
14.9069063389256,11.3973191142431,170
15.7843710119591,11.3964702025314,180
16.6619010494960,11.3956213146485,190
17.5394964594365,11.3947724506422,200
18.4171572496784,11.3939236105600,210
19.2948834281172,11.3930747944498,220
20.1726750026461,11.3922260023591,230
21.0505319811560,11.3913772343358,240
21.9284543715353,11.3905284904277,250
22.8064421816703,11.3896797706825,260
23.6844954194447,11.3888310751483,270
24.5626140927401,11.3879824038728,280
25.4407982094356,11.3871337569040,290
26.3190477774079,11.3862851342898,300
27.1973628045316,11.3854365360783,310
28.0757432986785,11.3845879623174,320
28.9541892677185,11.3837394130552,330
29.8327007195188,11.3828908883398,340
30.7112776619444,11.3820423882193,350
31.5899201028578,11.3811939127418,360
32.4686280501191,11.3803454619556,370
33.3474015115862,11.3794970359088,380
34.2262404951144,11.3786486346496,390
35.1051450085567,11.3778002582263,400
35.9841150597637,11.3769519066874,410
36.8631506565834,11.3761035800810,420
37.7422518068618,11.3752552784555,430
38.6214185184420,11.3744070018594,440
39.5006507991651,11.3735587503410,450
40.3799486568694,11.3727105239489,460
41.2593120993911,11.3718623227315,470
42.1387411345638,11.3710141467374,480
43.0182357702186,11.3701659960151,490
43.8977960141843,11.3693178706132,500
44.7774218742871,11.3684697705803,510
45.6571133583510,11.3676216959652,520
46.5368704741972,11.3667736468163,530
47.4166932296447,11.3659256231826,540
48.2965816325100,11.3650776251127,550
49.1765356906069,11.3642296526554,560
50.0565554117471,11.3633817058595,570
50.9366408037395,11.3625337847740,580
51.8167918743908,11.3616858894475,590
52.6970086315048,11.3608380199291,600
53.5772910828832,11.3599901762678,610
54.4576392363251,11.3591423585124,620
55.3380530996271,11.3582945667119,630
56.2185326805830,11.3574468009155,640
57.0990779869846,11.3565990611722,650
57.9796890266209,11.3557513475311,660
58.8603658072783,11.3549036600413,670
59.7411083367408,11.3540559987520,680
60.6219166227899,11.3532083637123,690
61.5027906732046,11.3523607549716,700
62.3837304957611,11.3515131725790,710
63.2647360982334,11.3506656165839,720
64.1458074883927,11.3498180870357,730
65.0269446740079,11.3489705839835,740
65.9081476628449,11.3481231074770,750
66.7894164626676,11.3472756575653,760
67.6707510812370,11.3464282342982,770
68.5521515263116,11.3455808377249,780
69.4336178056472,11.3447334678950,790
70.3151499269973,11.3438861248582,800
71.1967478981126,11.3430388086639,810
72.0784117267412,11.3421915193618,820
72.9601414206288,11.3413442570015,830
73.8419369875184,11.3404970216328,840
74.7237984351503,11.3396498133052,850
75.6057257712623,11.3388026320687,860
76.4877190035896,11.3379554779729,870
77.3697781398647,11.3371083510677,880
78.2519031878175,11.3362612514029,890
79.1340941551755,11.3354141790283,900
80.0163510496632,11.3345671339940,910
80.8986738790027,11.3337201163498,920
81.7810626509134,11.3328731261457,930
82.6635173731122,11.3320261634317,940
83.5460380533130,11.3311792282579,950
84.4286246992275,11.3303323206743,960
85.3112773185643,11.3294854407310,970
86.1939959190297,11.3286385884782,980
87.0767805083272,11.3277917639660,990
87.9596310941576,11.3269449672447,1000
88.8425476842189,11.3260981983644,1010
89.7255302862068,11.3252514573754,1020
90.6085789078139,11.3244047443281,1030
91.4916935567304,11.3235580592728,1040
92.3748742406436,11.3227114022597,1050
93.2581209672383,11.3218647733395,1060
94.1414337441965,11.3210181725623,1070
95.0248125791974,11.3201715999788,1080
95.9082574799177,11.3193250556393,1090
96.7917684540312,11.3184785395946,1100
97.6753455092091,11.3176320518950,1110
98.5589886531197,11.3167855925912,1120
99.4426978934288,11.3159391617338,1130
100.326473237799,11.3150927593736,1140
101.210314693892,11.3142463855610,1150
102.094222269363,11.3134000403470,1160
102.978195971868,11.3125537237823,1170
103.862235809059,11.3117074359175,1180
104.746341788585,11.3108611768037,1190
105.630513918092,11.3100149464916,1200
106.514752205225,11.3091687450321,1210
107.399056657623,11.3083225724761,1220
108.283427282926,11.3074764288746,1230
109.167864088768,11.3066303142786,1240
110.052367082783,11.3057842287391,1250
110.936936272599,11.3049381723071,1260
111.821571665844,11.3040921450338,1270
112.706273270142,11.3032461469702,1280
113.591041093114,11.3024001781676,1290
114.475875142380,11.3015542386770,1300
115.360775425554,11.3007083285498,1310
116.245741950249,11.2998624478371,1320
117.130774724076,11.2990165965903,1330
118.015873754643,11.2981707748606,1340
118.901039049552,11.2973249826995,1350
119.786270616407,11.2964792201583,1360
120.671568462805,11.2956334872884,1370
121.556932596343,11.2947877841413,1380
122.442363024613,11.2939421107685,1390
123.327859755207,11.2930964672214,1400
124.213422795710,11.2922508535517,1410
125.099052153708,11.2914052698109,1420
125.984747836783,11.2905597160506,1430
126.870509852512,11.2897141923224,1440
127.756338208472,11.2888686986782,1450
128.642232912236,11.2880232351695,1460
129.528193971374,11.2871778018482,1470
130.414221393452,11.2863323987659,1480
131.300315186036,11.2854870259746,1490
132.186475356686,11.2846416835261,1500
133.072701912961,11.2837963714722,1510
133.958994862417,11.2829510898649,1520
134.845354212606,11.2821058387562,1530
135.731779971077,11.2812606181979,1540
136.618272145378,11.2804154282422,1550
137.504830743052,11.2795702689411,1560
138.391455771641,11.2787251403466,1570
139.278147238681,11.2778800425109,1580
140.164905151708,11.2770349754862,1590
141.051729518255,11.2761899393245,1600
141.938620345850,11.2753449340782,1610
142.825577642019,11.2744999597995,1620
143.712601414285,11.2736550165406,1630
144.599691670169,11.2728101043539,1640
145.486848417187,11.2719652232918,1650
146.374071662854,11.2711203734066,1660
147.261361414681,11.2702755547508,1670
148.148717680177,11.2694307673767,1680
149.036140466846,11.2685860113369,1690
149.923629782191,11.2677412866839,1700
150.811185633710,11.2668965934703,1710
151.698808028901,11.2660519317486,1720
152.586496975256,11.2652073015715,1730
153.474252480265,11.2643627029916,1740
154.362074551415,11.2635181360616,1750
155.249963196191,11.2626736008342,1760
156.137918422074,11.2618290973623,1770
157.025940236541,11.2609846256985,1780
157.914028647068,11.2601401858957,1790
158.802183661126,11.2592957780067,1800
159.690405286184,11.2584514020845,1810
160.578693529709,11.2576070581820,1820
161.467048399162,11.2567627463521,1830
162.355469902003,11.2559184666478,1840
163.243958045690,11.2550742191222,1850
164.132512837674,11.2542300038283,1860
165.021134285408,11.2533858208191,1870
165.909822396337,11.2525416701479,1880
166.798577177907,11.2516975518679,1890
167.687398637558,11.2508534660321,1900
168.576286782729,11.2500094126938,1910
169.465241620854,11.2491653919063,1920
170.354263159364,11.2483214037228,1930
171.243351405689,11.2474774481968,1940
172.132506367255,11.2466335253816,1950
173.021728051483,11.2457896353305,1960
173.911016465792,11.2449457780971,1970
174.800371617599,11.2441019537347,1980
175.689793514317,11.2432581622969,1990
