t,V,X
588.332000735789,10.8628355914207,6550
589.252640398388,10.8620130179613,6560
590.173349780542,10.8611905057439,6570
591.094128887613,10.8603680548390,6580
592.014977724958,10.8595456653173,6590
592.935896297926,10.8587233372496,6600
593.856884611863,10.8579010707066,6610
594.777942672106,10.8570788657590,6620
595.699070483987,10.8562567224779,6630
596.620268052834,10.8554346409339,6640
597.541535383965,10.8546126211980,6650
598.462872482697,10.8537906633413,6660
599.384279354336,10.8529687674346,6670
600.305756004185,10.8521469335491,6680
601.227302437541,10.8513251617558,6690
602.148918659694,10.8505034521258,6700
603.070604675927,10.8496818047304,6710
603.992360491519,10.8488602196406,6720
604.914186111742,10.8480386969278,6730
605.836081541862,10.8472172366632,6740
606.758046787139,10.8463958389181,6750
607.680081852827,10.8455745037640,6760
608.602186744174,10.8447532312721,6770
609.524361466420,10.8439320215141,6780
610.446606024802,10.8431108745613,6790
611.368920424550,10.8422897904852,6800
612.291304670886,10.8414687693576,6810
613.213758769028,10.8406478112498,6820
614.136282724186,10.8398269162337,6830
615.058876541567,10.8390060843808,6840
615.981540226368,10.8381853157630,6850
616.904273783783,10.8373646104520,6860
617.827077218997,10.8365439685195,6870
618.749950537191,10.8357233900375,6880
619.672893743540,10.8349028750779,6890
620.595906843211,10.8340824237125,6900
621.518989841365,10.8332620360134,6910
622.442142743160,10.8324417120525,6920
623.365365553743,10.8316214519020,6930
624.288658278259,10.8308012556338,6940
625.212020921843,10.8299811233203,6950
626.135453489628,10.8291610550334,6960
627.058955986736,10.8283410508455,6970
627.982528418288,10.8275211108288,6980
628.906170789393,10.8267012350556,6990
629.829883105159,10.8258814235983,7000
630.753665370685,10.8250616765291,7010
631.677517591064,10.8242419939206,7020
632.601439771382,10.8234223758453,7030
633.525431916721,10.8226028223755,7040
634.449494032155,10.8217833335839,7050
635.373626122752,10.8209639095430,7060
636.297828193574,10.8201445503256,7070
637.222100249676,10.8193252560041,7080
638.146442296107,10.8185060266514,7090
639.070854337909,10.8176868623402,7100
639.995336380121,10.8168677631432,7110
640.919888427770,10.8160487291334,7120
641.844510485882,10.8152297603836,7130
642.769202559474,10.8144108569666,7140
643.693964653556,10.8135920189556,7150
644.618796773134,10.8127732464233,7160
645.543698923205,10.8119545394429,7170
646.468671108761,10.8111358980876,7180
647.393713334788,10.8103173224302,7190
648.318825606265,10.8094988125441,7200
649.244007928164,10.8086803685025,7210
650.169260305453,10.8078619903785,7220
651.094582743089,10.8070436782454,7230
652.019975246028,10.8062254321767,7240
652.945437819215,10.8054072522455,7250
653.870970467592,10.8045891385255,7260
654.796573196091,10.8037710910899,7270
655.722246009642,10.8029531100123,7280
656.647988913164,10.8021351953662,7290
657.573801911573,10.8013173472252,7300
658.499685009777,10.8004995656628,7310
659.425638212676,10.7996818507528,7320
660.351661525167,10.7988642025688,7330
661.277754952137,10.7980466211846,7340
662.203918498470,10.7972291066740,7350
663.130152169039,10.7964116591106,7360
664.056455968716,10.7955942785685,7370
664.982829902361,10.7947769651215,7380
665.909273974830,10.7939597188436,7390
666.835788190974,10.7931425398087,7400
667.762372555635,10.7923254280908,7410
668.689027073649,10.7915083837640,7420
669.615751749846,10.7906914069025,7430
670.542546589048,10.7898744975804,7440
671.469411596073,10.7890576558717,7450
672.396346775730,10.7882408818509,7460
673.323352132822,10.7874241755921,7470
674.250427672146,10.7866075371697,7480
675.177573398492,10.7857909666580,7490
676.104789316644,10.7849744641314,7500
677.032075431377,10.7841580296643,7510
677.959431747463,10.7833416633313,7520
678.886858269664,10.7825253652068,7530
679.814355002738,10.7817091353654,7540
680.741921951433,10.7808929738817,7550
681.669559120495,10.7800768808303,7560
682.597266514659,10.7792608562859,7570
683.525044138656,10.7784449003233,7580
684.452891997208,10.7776290130172,7590
685.380810095033,10.7768131944424,7600
686.308798436840,10.7759974446738,7610
687.236857027332,10.7751817637863,7620
688.164985871207,10.7743661518547,7630
689.093184973153,10.7735506089541,7640
690.021454337853,10.7727351351594,7650
690.949793969984,10.7719197305458,7660
691.878203874215,10.7711043951884,7670
692.806684055209,10.7702891291622,7680
693.735234517621,10.7694739325424,7690
694.663855266101,10.7686588054043,7700
695.592546305291,10.7678437478232,7710
696.521307639826,10.7670287598743,7720
697.450139274336,10.7662138416329,7730
698.379041213441,10.7653989931746,7740
699.308013461757,10.7645842145747,7750
700.237056023892,10.7637695059086,7760
701.166168904447,10.7629548672519,7770
702.095352108017,10.7621402986802,7780
703.024605639190,10.7613258002690,7790
703.953929502546,10.7605113720940,7800
704.883323702659,10.7596970142308,7810
705.812788244096,10.7588827267552,7820
706.742323131418,10.7580685097430,7830
707.671928369177,10.7572543632699,7840
708.601603961919,10.7564402874118,7850
709.531349914185,10.7556262822446,7860
710.461166230506,10.7548123478442,7870
711.391052915409,10.7539984842865,7880
712.321009973411,10.7531846916477,7890
713.251037409025,10.7523709700037,7900
714.181135226755,10.7515573194307,7910
715.111303431099,10.7507437400047,7920
716.041542026547,10.7499302318020,7930
716.971851017584,10.7491167948988,7940
717.902230408686,10.7483034293713,7950
718.832680204323,10.7474901352959,7960
719.763200408959,10.7466769127488,7970
720.693791027048,10.7458637618066,7980
721.624452063039,10.7450506825456,7990
722.555183521375,10.7442376750422,8000
723.485985406490,10.7434247393731,8010
724.416857722812,10.7426118756147,8020
725.347800474761,10.7417990838437,8030
726.278813666751,10.7409863641367,8040
727.209897303189,10.7401737165703,8050
728.141051388474,10.7393611412213,8060
729.072275926999,10.7385486381666,8070
730.003570923148,10.7377362074828,8080
730.934936381301,10.7369238492468,8090
731.866372305827,10.7361115635355,8100
732.797878701091,10.7352993504258,8110
733.729455571451,10.7344872099948,8120
734.661102921255,10.7336751423194,8130
735.592820754846,10.7328631474767,8140
736.524609076561,10.7320512255438,8150
737.456467890726,10.7312393765979,8160
738.388397201663,10.7304276007160,8170
739.320397013687,10.7296158979755,8180
740.252467331104,10.7288042684536,8190
741.184608158213,10.7279927122277,8200
742.116819499308,10.7271812293750,8210
743.049101358673,10.7263698199730,8220
743.981453740586,10.7255584840991,8230
744.913876649318,10.7247472218308,8240
745.846370089134,10.7239360332456,8250
746.778934064288,10.7231249184210,8260
747.711568579031,10.7223138774347,8270
748.644273637604,10.7215029103644,8280
749.577049244241,10.7206920172876,8290
750.509895403171,10.7198811982822,8300
751.442812118613,10.7190704534259,8310
752.375799394780,10.7182597827965,8320
753.308857235877,10.7174491864719,8330
754.241985646103,10.7166386645300,8340
755.175184629649,10.7158282170487,8350
756.108454190697,10.7150178441060,8360
757.041794333426,10.7142075457800,8370
757.975205062003,10.7133973221486,8380
758.908686380590,10.7125871732901,8390
759.842238293341,10.7117770992825,8400
760.775860804403,10.7109671002040,8410
761.709553917917,10.7101571761330,8420
762.643317638013,10.7093473271476,8430
763.577151968817,10.7085375533262,8440
764.511056914446,10.7077278547472,8450
765.445032479010,10.7069182314889,8460
766.379078666613,10.7061086836298,8470
767.313195481348,10.7052992112484,8480
768.247382927304,10.7044898144232,8490
769.181641008562,10.7036804932328,8500
770.115969729193,10.7028712477559,8510
771.050369093265,10.7020620780710,8520
771.984839104833,10.7012529842569,8530
772.919379767951,10.7004439663922,8540
773.853991086659,10.6996350245559,8550
774.788673064995,10.6988261588268,8560
775.723425706985,10.6980173692836,8570
776.658249016652,10.6972086560053,8580
777.593142998007,10.6964000190709,8590
778.528107655058,10.6955914585594,8600
779.463142991800,10.6947829745497,8610
780.398249012227,10.6939745671210,8620
781.333425720319,10.6931662363525,8630
782.268673120054,10.6923579823232,8640
783.203991215399,10.6915498051124,8650
784.139380010314,10.6907417047993,8660
785.074839508752,10.6899336814632,8670
786.010369714659,10.6891257351835,8680
786.945970631972,10.6883178660396,8690
787.881642264621,10.6875100741108,8700
788.817384616530,10.6867023594766,8710
789.753197691612,10.6858947222165,8720
790.689081493775,10.6850871624101,8730
791.625036026918,10.6842796801370,8740
792.561061294935,10.6834722754768,8750
793.497157301709,10.6826649485091,8760
794.433324051116,10.6818576993138,8770
795.369561547026,10.6810505279704,8780
796.305869793301,10.6802434345590,8790
797.242248793794,10.6794364191592,8800
798.178698552351,10.6786294818510,8810
799.115219072811,10.6778226227143,8820
800.051810359004,10.6770158418291,8830
800.988472414753,10.6762091392754,8840
801.925205243873,10.6754025151333,8850
802.862008850173,10.6745959694828,8860
803.798883237451,10.6737895024041,8870
804.735828409499,10.6729831139775,8880
805.672844370103,10.6721768042830,8890
806.609931123039,10.6713705734010,8900
807.547088672075,10.6705644214118,8910
808.484317020972,10.6697583483957,8920
809.421616173484,10.6689523544332,8930
810.358986133356,10.6681464396047,8940
811.296426904325,10.6673406039907,8950
812.233938490122,10.6665348476717,8960
813.171520894469,10.6657291707282,8970
814.109174121079,10.6649235732409,8980
815.046898173659,10.6641180552904,8990
815.984693055908,10.6633126169575,9000
816.922558771516,10.6625072583228,9010
817.860495324165,10.6617019794672,9020
818.798502717532,10.6608967804714,9030
819.736580955282,10.6600916614164,9040
820.674730041076,10.6592866223831,9050
821.612949978564,10.6584816634523,9060
822.551240771389,10.6576767847051,9070
823.489602423188,10.6568719862226,9080
824.428034937588,10.6560672680857,9090
825.366538318208,10.6552626303757,9100
826.305112568660,10.6544580731738,9110
827.243757692547,10.6536535965610,9120
828.182473693466,10.6528492006186,9130
829.121260575005,10.6520448854281,9140
830.060118340743,10.6512406510706,9150
830.999046994252,10.6504364976276,9160
831.938046539096,10.6496324251805,9170
832.877116978830,10.6488284338107,9180
833.816258317004,10.6480245235998,9190
834.755470557157,10.6472206946293,9200
835.694753702820,10.6464169469808,9210
836.634107757517,10.6456132807360,9220
837.573532724765,10.6448096959765,9230
838.513028608070,10.6440061927840,9240
839.452595410934,10.6432027712404,9250
840.392233136846,10.6423994314273,9260
841.331941789292,10.6415961734267,9270
842.271721371746,10.6407929973205,9280
843.211571887675,10.6399899031906,9290
844.151493340540,10.6391868911189,9300
845.091485733791,10.6383839611875,9310
846.031549070871,10.6375811134785,9320
846.971683355216,10.6367783480740,9330
847.911888590252,10.6359756650560,9340
848.852164779398,10.6351730645069,9350
849.792511926064,10.6343705465088,9360
850.732930033653,10.6335681111441,9370
851.673419105559,10.6327657584949,9380
852.613979145168,10.6319634886438,9390
853.554610155858,10.6311613016731,9400
854.495312140998,10.6303591976652,9410
855.436085103951,10.6295571767027,9420
856.376929048068,10.6287552388681,9430
857.317843976697,10.6279533842440,9440
858.258829893172,10.6271516129130,9450
859.199886800823,10.6263499249577,9460
860.141014702970,10.6255483204609,9470
861.082213602926,10.6247467995053,9480
862.023483503993,10.6239453621737,9490
862.964824409469,10.6231440085489,9500
863.906236322639,10.6223427387139,9510
864.847719246782,10.6215415527515,9520
865.789273185171,10.6207404507447,9530
866.730898141066,10.6199394327766,9540
867.672594117723,10.6191384989301,9550
868.614361118386,10.6183376492884,9560
869.556199146293,10.6175368839346,9570
870.498108204674,10.6167362029519,9580
871.440088296749,10.6159356064234,9590
872.382139425730,10.6151350944326,9600
873.324261594822,10.6143346670626,9610
874.266454807220,10.6135343243969,9620
875.208719066112,10.6127340665188,9630
876.151054374675,10.6119338935118,9640
877.093460736082,10.6111338054593,9650
878.035938153493,10.6103338024449,9660
878.978486630063,10.6095338845522,9670
879.921106168936,10.6087340518647,9680
880.863796773250,10.6079343044661,9690
881.806558446133,10.6071346424401,9700
882.749391190705,10.6063350658705,9710
883.692295010076,10.6055355748410,9720
884.635269907351,10.6047361694355,9730
885.578315885624,10.6039368497378,9740
886.521432947980,10.6031376158318,9750
887.464621097497,10.6023384678015,9760
888.407880337244,10.6015394057309,9770
889.351210670282,10.6007404297040,9780
890.294612099662,10.5999415398050,9790
891.238084628428,10.5991427361179,9800
892.181628259616,10.5983440187269,9810
893.125242996250,10.5975453877163,9820
894.068928841349,10.5967468431702,9830
895.012685797923,10.5959483851730,9840
895.956513868971,10.5951500138091,9850
896.900413057486,10.5943517291628,9860
897.844383366451,10.5935535313186,9870
898.788424798842,10.5927554203608,9880
899.732537357624,10.5919573963741,9890
900.676721045755,10.5911594594430,9900
901.620975866184,10.5903616096522,9910
902.565301821851,10.5895638470861,9920
903.509698915688,10.5887661718296,9930
904.454167150619,10.5879685839674,9940
905.398706529557,10.5871710835843,9950
906.343317055408,10.5863736707650,9960
907.287998731070,10.5855763455944,9970
908.232751559430,10.5847791081575,9980
909.177575543369,10.5839819585391,9990
910.122470685757,10.5831848968243,10000
911.067436989456,10.5823879230981,10010
912.012474457320,10.5815910374457,10020
912.957583092193,10.5807942399520,10030
913.902762896913,10.5799975307023,10040
914.848013874305,10.5792009097818,10050
915.793336027188,10.5784043772757,10060
916.738729358373,10.5776079332694,10070
917.684193870660,10.5768115778481,10080
918.629729566841,10.5760153110973,10090
919.575336449700,10.5752191331023,10100
920.521014522011,10.5744230439487,10110
921.466763786539,10.5736270437220,10120
922.412584246043,10.5728311325076,10130
923.358475903269,10.5720353103913,10140
924.304438760957,10.5712395774586,10150
925.250472821838,10.5704439337952,10160
926.196578088632,10.5696483794869,10170
