,CP,Pmax,0.9*max,0.8*Pmax,0.7*Pmax,0.6*Pmax,0.5*Pmax
0,225.0951758,221.45227,218.088423,205.5786311,224.335840801327,219.500285347958,223.239601524173
0.04,318.4704429,310.5654226,318.777527,302.534201,298.875176334980,308.590713407638,306.020346003191
0.02,265.7342657,269.3522065,265.4287896,245.0020657,254.945878205820,261.045023634562,260.640637179859
-0.02,190.6712031,174.6095061,174.1337014,174.751004,181.419820418100,186.227598736597,189.152084836071
-0.04,166.3381245,153.557359,153.2741172,153.8105321,159.043506965385,162.777533398953,165.087483326402
