,t,V,X,P,wo2
0,0.0,0.0,0,0,2644700
1,0.876354687422211,11.4109049036012,10,341.597133699666,2644400.63975067
2,1.75277460469496,11.4100556170814,20,341.558440774285,2644101.29113027
3,2.62925975975715,11.4092063536325,30,341.519751862655,2643801.95413760
4,3.5058101605454,11.4083571133015,40,341.481066966451,2643502.62877149
5,4.38242581499412,11.4075078961358,50,341.442386087374,2643203.31503075
6,5.25910673103545,11.4066587021824,60,341.403709227098,2642904.01291420
7,6.13585291659926,11.4058095314886,70,341.365036387318,2642604.72242067
8,7.01266437961318,11.4049603841017,80,341.326367569720,2642305.44354895
9,7.88954112800256,11.4041112600689,90,341.287702775990,2642006.17629788
10,8.76648316969049,11.4032621594377,100,341.249042007827,2641706.92066626
11,9.64349051259778,11.4024130822553,110,341.210385266914,2641407.67665290
12,10.520563164643,11.4015640285692,120,341.171732554948,2641108.44425662
13,11.3977011337423,11.4007149984267,130,341.133083873615,2640809.22347624
14,12.2749044278097,11.3998659918754,140,341.094439224616,2640510.01431057
15,13.1521730547568,11.3990170089626,150,341.055798609637,2640210.81675841
16,14.0295070224931,11.398168049736,160,341.017162030383,2639911.63081858
17,14.9069063389256,11.3973191142431,170,340.978529488546,2639612.45648989
18,15.7843710119591,11.3964702025314,180,340.939900985818,2639313.29377114
19,16.661901049496,11.3956213146485,190,340.901276523896,2639014.14266116
20,17.5394964594365,11.3947724506422,200,340.862656104487,2638715.00315874
21,18.4171572496784,11.39392361056,210,340.824039729284,2638415.87526270
22,19.2948834281172,11.3930747944498,220,340.785427399991,2638116.75897184
23,20.1726750026461,11.3922260023591,230,340.746819118300,2637817.65428497
24,21.050531981156,11.3913772343358,240,340.708214885920,2637518.56120090
25,21.9284543715353,11.3905284904277,250,340.669614704552,2637219.47971843
26,22.8064421816703,11.3896797706825,260,340.631018575895,2636920.40983636
27,23.6844954194447,11.3888310751483,270,340.592426501661,2636621.35155351
28,24.5626140927401,11.3879824038728,280,340.553838483549,2636322.30486868
29,25.4407982094356,11.387133756904,290,340.515254523265,2636023.26978066
30,26.3190477774079,11.3862851342898,300,340.476674622514,2635724.24628827
