x,y,xx
1010,550,1010
1020,600,1020
1030,650,1030
1040,750,1040
1050,850,1050
1060,1000,1060
1070,1150,1070
1080,1350,1080
1090,1375,1090
1100,1400,1100
1110,1400,1110
1120,1236.398361,1120
1130,1199.497156,1130
1140,1170.66565,1140
1150,1146.915626,1150
1160,1126.669779,1160
1170,1108.990766,1170
1180,1093.27504,1180
1190,1079.110677,1190
1200,1066.203794,1200
1210,1054.337261,1210
1220,1043.346051,1220
1230,1033.10177,1230
1240,1023.502537,1240
1250,1014.466144,1250
1260,1005.925286,1260
1270,997.8241595,1270
1280,990.1159784,1280
1290,982.7611285,1290
1300,975.7257707,1300
1310,968.9807688,1310
1320,962.5008557,1320
1330,956.2639766,1330
1340,950.2507658,1340
1350,944.4441259,1350
1360,938.8288866,1360
1370,933.3915253,1370
1380,928.119936,1380
1390,923.0032379,1390
1400,918.0316153,1400
1410,913.1961827,1410
1420,908.4888702,1420
1430,903.9023267,1430
1440,899.4298366,1440
1450,895.0652484,1450
1460,890.8029129,1460
1470,886.6376297,1470
1480,882.5646009,1480
1490,878.5793898,1490
1500,874.6778861,1500
1510,870.8562737,1510
1520,867.1110035,1520
1530,863.4387686,1530
1540,859.8364827,1540
1550,856.3012607,1550
1560,852.8304015,1560
1570,849.421372,1570
1580,846.0717939,1580
1590,842.7794308,1590
1600,839.5421772,1600
1610,836.3580479,1610
1620,833.2251695,1620
1630,830.1417712,1630
1640,827.1061782,1640
1650,824.1168041,1650
1660,821.1721446,1660
1670,818.2707725,1670
1680,815.4113318,1680
1690,812.5925328,1690
1700,809.8131484,1700
1710,807.0720094,1710
1720,804.3680012,1720
1730,801.70006,1730
1740,799.06717,1740
1750,796.4683603,1750
1760,793.9027023,1760
1770,791.3693069,1770
1780,788.8673228,1780
1790,786.3959337,1790
1800,783.9543568,1800
1810,781.5418405,1810
1820,779.1576631,1820
1830,776.801131,1830
1840,774.4715771,1840
1850,772.1683598,1850
1860,769.8908611,1860
1870,767.6384859,1870
1880,765.4106605,1880
1890,763.2068317,1890
1900,761.026466,1900
1910,758.8690481,1910
1920,756.7340806,1920
1930,754.6210827,1930
1940,752.5295899,1940
1950,750.4591528,1950
1960,748.4093367,1960
1970,746.3797207,1970
1980,744.3698975,1980
1990,742.3794723,1990
2000,740.4080627,2000
2010,738.4552978,2010
2020,736.520818,2020
2030,734.6042744,2030
2040,732.7053285,2040
2050,730.8236514,2050
2060,728.958924,2060
2070,727.110836,2070
2080,725.2790861,2080
2090,723.4633811,2090
2100,721.6634362,2100
2110,719.8789742,2110
2120,718.1097253,2120
2130,716.3554272,2130
2140,714.6158241,2140
2150,712.8906673,2150
2160,711.1797143,2160
2170,709.482729,2170
2180,707.799481,2180
2190,706.1297461,2190
,704.4733054,2200
,702.8299454,2210
,701.199458,2220
,699.5816399,2230
,697.9762929,2240
,696.3832235,2250
,694.8022425,2260
,693.2331655,2270
,691.675812,2280
,690.1300059,2290
,670,2300
,630,2310
,590,2320
,550,2330
,530,2340
,510,2350
,505,2360
,501,2370
,495,2380
,490,2390
