T,X,V,WW,P
1,0,10,24000.0,0
1.92543045644212,10,11.6115645003639,23098.31831994218,1667.07 - 191.61*log(3)
2.75143663159449,20,12.6013295452656,22550.67860746717,1197.14792064090
3.51947829939483,30,13.4389243087728,21971.826005935898,1230.75596629184
4.24319499302271,40,14.1961989046259,21392.688537213005,1308.24582829456
4.93235212874350,50,14.8247586728968,20825.595921780157,1273.83780457127
5.59433864661620,60,15.3873369816646,20280.203408096648,1298.77487739432
6.23427540112080,70,15.8657514824961,19764.189356917745,1264.19930067238
6.85719240251720,80,16.2412546758938,19370.628654978613,1159.59760812922
7.46657949430152,90,16.5786069024646,18980.144880157284,1155.52455231073
8.06387439302613,100,16.9056904566887,18547.952941463805,1201.27524094598
8.65163209328082,110,17.1219368995052,18245.782065971413,1016.75166530590
9.23164210412246,120,17.3602265565673,17887.347219108557,1107.57570742713
9.80480232590349,130,17.5340303021036,17586.62793648536,1000.21618994060
10.3712160195140,140,17.7758504892874,17195.077829752157,1196.77948381943
10.9313241083911,150,17.9315431320007,16872.037672794806,1031.19947805434
11.4863439392243,160,18.1032053381129,16560.833728857397,1100.11496656930
12.0376279095708,170,18.1757381389287,16331.278447546676,878.762552493598
12.5862943800795,180,18.2762797535777,16074.7384730663,962.885924211827
13.1315647863585,190,18.4027693378262,15773.766262710114,1048.23942154297
13.6735983455139,200,18.4953150375513,15495.387867414098,981.807219867836
14.2127094259137,210,18.6027909504936,15197.861898232044,1038.06356003532
14.7486818465292,220,18.7125619123070,14913.342492208545,1063.98373054563
15.2828351172863,230,18.7298747344886,14744.197875390757,832.751789214781
15.8167965378148,240,18.7260148318502,14573.817252417904,778.136335102050
16.3499847483870,250,18.7841918895902,14342.412711614894,946.006060726897
16.8809392567191,260,18.8838186200607,14047.735345066292,1069.95603648677
17.4104625990103,270,18.8859988793193,13899.006151301528,818.790521250825
17.9399627101663,280,18.8854757221408,13732.310232775011,811.690718624710
18.4683604538854,290,18.9647994498043,13455.110552995337,1032.43379136828
18.9960226148437,300,18.9382405629110,13299.853207960547,752.022345449921
19.5231513603496,310,19.0031545336591,13028.327761300523,1001.84534994354
20.0497666246914,320,18.9752356768862,12866.448907347762,754.094161029582
20.5757572835781,330,19.0482532617408,12574.783670099643,1031.16240034585
21.0997347484574,340,19.1213271888388,12258.284174622984,1044.64526624874
21.6223963804239,350,19.1443475360275,12033.28912537907,916.048872378014
22.1451116368085,360,19.1174015820895,11868.092671903441,778.561766003951
22.6683454790604,370,19.1064256725179,11680.835360799028,819.368058918199
23.1915766281248,380,19.1175983286554,11490.054986017783,880.060147597308
23.7148228603910,390,19.1053238190717,11308.310092637104,815.738480626953
24.2376036904673,400,19.1516260332788,11027.65783313746,979.199378959016
24.7592658058620,410,19.1873666015712,10768.375276011611,957.343027188776
25.2798550864228,420,19.2306353566298,10505.580645622777,985.070770174437
25.7993617325249,430,19.2674284315018,10276.50256125685,974.178881914207
26.3182531804564,440,19.2762786959325,10054.841890641423,900.364247348961
26.8366564443382,450,19.3037253153043,9792.436372980235,955.320703163443
27.3543740514281,460,19.3273734267722,9556.85056181753,949.144747236277
27.8711610105447,470,19.3732935447516,9277.4342271713,1017.73520156112
28.3881404026797,480,19.3129680437575,9142.875651217939,718.291236416038
28.9056978144901,490,19.3300878638728,8938.475120239926,931.903416960489
29.4237212417055,500,19.2782046365473,8833.244035653097,736.067478877640
29.9429234201754,510,19.2424349704379,8684.546023913463,774.282441831914
30.4635386446507,520,19.1736524963754,8606.974497772546,674.842412677965
30.9857569379335,530,19.1245079802976,8462.03556440979,720.344672088186
31.5082902390852,540,19.1505645479422,8239.211780073349,925.186904397272
32.0308465732213,550,19.1228209102291,8067.52005717766,777.275366638975
32.5542777034361,560,19.0865992895091,7957.893169217229,749.110300103204
33.0776328637584,570,19.1283673646513,7687.079269103057,963.085567161204
33.6003813976415,580,19.1309460597891,7516.234697352224,859.405221934097
34.1238834848709,590,19.0732951226044,7385.606131776371,690.070799543216
34.6487696451838,600,19.0302052403635,7282.794528025205,722.373698272535
35.1739641297407,610,19.0509258226815,7071.270845738459,894.209605527697
35.6998752630152,620,18.9783128349484,7002.70794503935,636.783230931286
36.2276332487114,630,18.9178451428759,6937.360371692526,660.191463277622
36.7554533933130,640,18.9738499819789,6674.452824975849,973.427729455033
37.2818065311754,650,19.0234536556936,6442.269835072949,965.400211980071
37.8074738961674,660,19.0234203409496,6278.905717353324,835.015394053421
38.3332972616281,670,19.0121659675372,6094.094228573299,803.668282574240
38.8599599493096,680,18.9628044790076,5980.493447698536,695.853845554430
39.3881760981893,690,18.9004831967220,5895.050967964481,652.868041771976
39.9180122062097,700,18.8470385316925,5794.73245085306,668.406882342127
40.4489682208364,710,18.8208651157746,5640.6252205313685,735.269530024307
40.9807906089203,720,18.7856750527531,5513.1067064988065,706.757737528264
41.5128553643010,730,18.8037345026509,5345.700842054477,846.572062897349
42.0441164381766,740,18.8425395864638,5130.847952037475,906.314659353901
42.5756403839801,750,18.7851160589765,5043.444805621351,649.289403431529
43.1089929409758,760,18.7135323259866,5006.065444504488,602.890897360576
43.6432755459563,770,18.7198405998019,4859.485867011185,803.111869517071
44.1777182583557,780,18.7023181011951,4748.355999192277,739.655725964354
44.7116906390252,790,18.7528026579015,4530.8428010662965,921.025174533234
45.2443724946925,800,18.7930603881474,4306.003177649998,901.722219942628
45.7766272900907,810,18.7829279785488,4146.187938538089,770.849539211606
46.3100773064753,820,18.7088695389524,4063.3123690460675,595.902931446294
46.8441174019308,830,18.7415020159058,3858.682216342259,873.675365343606
47.3782317893764,840,18.7036604251441,3760.132282685205,687.968848921365
47.9128654811316,850,18.7051305067134,3624.2975349497624,788.484951165332
48.4470655945242,860,18.7340229090086,3403.912787946514,862.921480128482
48.9806005227095,870,18.7518078088114,3224.5624916664738,837.481641134203
49.5150432986911,880,18.6703464401057,3163.378149757102,571.765789356597
50.0506178088383,890,18.6727302393670,2982.606796740929,785.767548171077
50.5871630883805,900,18.6027817492333,2908.08607632599,592.085764911950
51.1243465194834,910,18.6284484823757,2700.481494170229,837.620731992191
51.6611271482033,920,18.6307202169407,2551.3288419316395,778.973345116313
52.1989982194559,930,18.5529118260013,2529.0165105973306,565.546989423183
52.7378184887483,940,18.5652166851389,2387.8372146530696,794.035952699971
53.2766263142407,950,18.5537690714632,2280.2027705422743,732.740465079390
53.8157478921024,960,18.5436145638283,2127.3449928450846,734.463588036464
54.3547971393609,970,18.5587468655173,1970.9045776749579,800.103840286481
54.8931510170442,980,18.5915381590172,1765.9436667960067,849.562215618358
55.4307356299504,990,18.6119076239289,1588.0891756433914,821.640464933665
55.9678950520870,1000,18.6209867009051,1396.9238951139077,794.638438254503
56.5057784048371,1010,18.5617963276867,1323.2113774427783,613.754606684801
57.0440708980996,1020,18.5927251459167,1111.9768136065506,845.084858056870
57.5813596385426,1030,18.6312077128081,912.263911817525,870.329977957763
58.1179491397407,1040,18.6412323094867,752.5678605416156,800.194252336603
58.6547558516682,1050,18.6161259828240,626.9342000974219,707.576337603456
59.1929706579081,1060,18.5437584501725,602.9409356423498,578.073002210947
59.7330322804566,1070,18.4890525568752,508.0896499077915,615.080266323513
60.2743356385778,1080,18.4588061621550,393.06763231970564,671.896621352981
60.8163154253843,1090,18.4429390447047,299.8676075166439,705.323820825836
61.3580537234854,1100,18.4752557185282,92.19442083700977,829.663434603538
61.9005458627093,1110,18.3916379264431,92.19442083700977,530.118043168442
62.4457128292009,1120,18.2943706347659,82.9265824066522,467.229141632935
62.9939109715621,1130,18.1887883811631,88.40856383026404,461.184734219533
63.5450400360265,1140,18.1003520208921,65.81227218722587,441.140085890847
64.0989320793206,1150,18.0077673177691,90.18352209216837,505.095204910152
64.6553429518489,1160,17.9368933412175,89.62711121964008,503.050105047977
65.2137250308165,1170,17.8808750889199,66.73344598196869,491.004806271604
65.7745202573527,1180,17.7827665642607,84.11809800458974,452.959353239275
66.3375070175984,1190,17.7420475384190,72.2953760394291,528.913710049868
66.9023210167373,1200,17.6678396642537,95.45275000412524,504.867894818018
67.4693599187127,1210,17.6031089961081,84.67901086659387,458.821937257490
