,CP,Pmax,0.8*Pmax,0.6*Pmax,0.4*Pmax
0,225.095175811483,221.452270008176,224.734519349588,220.443157060285,202.553343036797
0.04,318.470442919829,310.565422605823,305.197214904208,314.640947013251,310.831799785418
0.02,265.734265707075,269.352206470630,273.416406061572,268.202891238535,250.626798916123
-0.02,190.671203149554,174.609506092990,181.644670155229,174.681181181005,173.136459163589
-0.04,166.338124475667,153.557358960107,154.119036452379,153.756520766996,153.099583656196
